category,series,value
2026,conventional,116.853177093602
2027,conventional,167.281685356797
2028,conventional,210.422194753964
2029,conventional,217.40374061031
2030,conventional,224.801225959062
2031,conventional,233.579067067185
2032,conventional,242.866985316403
2033,conventional,252.303789965346
2034,conventional,261.968258809319
2035,conventional,271.499201106951
2026,dynamic,90.6721770936019
2027,dynamic,137.463685356797
2028,dynamic,178.696194753964
2029,dynamic,188.67274061031
2030,dynamic,198.679225959062
2031,dynamic,209.810067067185
2032,dynamic,219.277985316403
2033,dynamic,227.505789965346
2034,dynamic,235.721258809319
2035,dynamic,243.694201106951
2026,difference,-26.181000000000097
2027,difference,-29.818000000000012
2028,difference,-31.726
2029,difference,-28.730999999999995
2030,difference,-26.122000000000014
2031,difference,-23.769000000000005
2032,difference,-23.589
2033,difference,-24.798000000000002
2034,difference,-26.247000000000014
2035,difference,-27.80499999999998
2026-35,conventional,2198.979326038939
2026-35,dynamic,1930.193326038939
2026-35,difference,-268.78599999999983
