category,series,value,unit,metric,scenario,measure
Tariff rate,"Effective rate, pre-substitution",9.076994049038827,pct,etr_presub_level,ieepa_invalidation,level
Tariff rate,"Effective rate, post-substitution",9.10972789941594,pct,etr_postsub_level,ieepa_invalidation,level
Consumer price increase,Pre-substitution,0.5716162241695878,pct,price_presub,ieepa_invalidation,level
Consumer price increase,Post-substitution,0.5500846426589975,pct,price_postsub,ieepa_invalidation,level
Household cost,Pre-substitution,-770.0,usd,hh_cost_presub,ieepa_invalidation,level
Household cost,Post-substitution,-740.0,usd,hh_cost_postsub,ieepa_invalidation,level
Real GDP,"Q4-Q4 growth (p.p.), 2025",-0.3841908501142077,pp,gdp_growth_2025,ieepa_invalidation,level
Real GDP,"Q4-Q4 growth (p.p.), 2026",0.11822687638733953,pp,gdp_growth_2026,ieepa_invalidation,level
Real GDP,Long-run,-0.1,pct,gdp_longrun,ieepa_invalidation,level
Labor market,"Unemployment rate (p.p.), end of 2026",0.21420955657958984,pp,unemployment_2026,ieepa_invalidation,level
Revenue (10-year),Conventional,1300.0,usd_bn,revenue_conventional,ieepa_invalidation,level
Revenue (10-year),Dynamic,1100.0,usd_bn,revenue_dynamic,ieepa_invalidation,level
