category,value,substitution,basis
1,-3.4933008386102875,presub,% of after-tax income
2,-1.8440375275237721,presub,% of after-tax income
3,-2.101145192478408,presub,% of after-tax income
4,-1.93807273004055,presub,% of after-tax income
5,-2.055444344775729,presub,% of after-tax income
6,-2.0821473558389876,presub,% of after-tax income
7,-2.0356120472462007,presub,% of after-tax income
8,-1.9404721043602968,presub,% of after-tax income
9,-1.7317742924234356,presub,% of after-tax income
10,-1.0180688338137822,presub,% of after-tax income
1,-1313.5160483258542,presub,2025 dollars
2,-1115.698025277708,presub,2025 dollars
3,-1551.9688735203267,presub,2025 dollars
4,-1668.3123867462057,presub,2025 dollars
5,-2075.053283824889,presub,2025 dollars
6,-2423.3488430403227,presub,2025 dollars
7,-2784.717280632802,presub,2025 dollars
8,-3180.5308026517446,presub,2025 dollars
9,-3596.825934391779,presub,2025 dollars
10,-5091.789826812927,presub,2025 dollars
