category,value,country_code,substitution
China,3.7851880950405326,chn,Pre-substitution
China,2.387756108505373,chn,Post-substitution
Canada,1.1670156538372567,ca,Pre-substitution
Canada,1.3886694717684949,ca,Post-substitution
Mexico,1.4839031833706315,mx,Pre-substitution
Mexico,1.8357436767363249,mx,Post-substitution
Rest of World,9.121383381785506,row,Pre-substitution
Rest of World,8.958399150369143,row,Post-substitution
Total,15.557490314033927,total,Pre-substitution
Total,14.570568407379335,total,Post-substitution
