category,value,dimension,category_code,group
Agriculture,-0.6513782788299326,sector,agriculture,Sectors
Mining & Extraction,-2.0989542253814775,sector,mining_and_extraction,Sectors
Total Manufacturing,3.159976063311725,sector,total_manufacturing,Sectors
Durable Manufacturing,5.441571232168002,sector,durable_manufacturing,Manufacturing detail
Advanced Manufacturing,0.27,sector,advanced_manufacturing,Manufacturing detail
Nondurable Manufacturing,0.9891298062521265,sector,nondurable_manufacturing,Manufacturing detail
Utilities,0.5851466339471021,sector,utilities,Sectors
Construction,-4.04,sector,construction,Sectors
Services,-0.254089257289436,sector,services,Sectors
Overall Real GDP,-0.35,sector,overall_real_gdp,Sectors
USA,-0.35,country,usa,Trading partners
China,-0.18,country,china,Trading partners
ROW,-0.01,country,row,Trading partners
Canada,-0.09,country,canada,Trading partners
Mexico,0.08,country,mexico,Trading partners
FTROW,0.02,country,ftrow,Trading partners
Japan,0.0,country,japan,Trading partners
EU,0.04,country,eu,Trading partners
UK,0.08,country,uk,Trading partners
World Total,-0.10392155661520519,country,world_total,Trading partners
World ex USA,-0.02586469847580819,country,world_ex_usa,Trading partners
