category,series,value,scenario,measure
2026,conventional,72.30161389562983,tracker_actual_2026-07-01,level
2026,dynamic,60.055613895629826,tracker_actual_2026-07-01,level
2027,conventional,78.52371750416845,tracker_actual_2026-07-01,level
2027,dynamic,75.64971750416845,tracker_actual_2026-07-01,level
2028,conventional,122.2839932756997,tracker_actual_2026-07-01,level
2028,dynamic,120.3039932756997,tracker_actual_2026-07-01,level
2029,conventional,123.75438442365008,tracker_actual_2026-07-01,level
2029,dynamic,118.42638442365008,tracker_actual_2026-07-01,level
2030,conventional,125.28823552485896,tracker_actual_2026-07-01,level
2030,dynamic,118.75223552485896,tracker_actual_2026-07-01,level
2031,conventional,127.40746688984724,tracker_actual_2026-07-01,level
2031,dynamic,120.39746688984724,tracker_actual_2026-07-01,level
2032,conventional,132.46872518754742,tracker_actual_2026-07-01,level
2032,dynamic,124.98272518754742,tracker_actual_2026-07-01,level
2033,conventional,137.61378804165636,tracker_actual_2026-07-01,level
2033,dynamic,129.64378804165636,tracker_actual_2026-07-01,level
2034,conventional,142.88001593872332,tracker_actual_2026-07-01,level
2034,dynamic,134.4140159387233,tracker_actual_2026-07-01,level
2035,conventional,148.076321192674,tracker_actual_2026-07-01,level
2035,dynamic,139.08032119267398,tracker_actual_2026-07-01,level
Total,conventional,1210.5982618744554,tracker_actual_2026-07-01,level
Total,dynamic,1141.7062618744553,tracker_actual_2026-07-01,level
2026,conventional,89.21325016045776,tracker_new_301_2026-07-01,level
2026,dynamic,75.36125016045776,tracker_new_301_2026-07-01,level
2027,conventional,147.70044808232245,tracker_new_301_2026-07-01,level
2027,dynamic,140.11844808232246,tracker_new_301_2026-07-01,level
2028,conventional,193.47384636720793,tracker_new_301_2026-07-01,level
2028,dynamic,186.52884636720793,tracker_new_301_2026-07-01,level
2029,conventional,196.69075386778275,tracker_new_301_2026-07-01,level
2029,dynamic,185.96175386778276,tracker_new_301_2026-07-01,level
2030,conventional,200.06689500486104,tracker_new_301_2026-07-01,level
2030,dynamic,187.51289500486104,tracker_new_301_2026-07-01,level
2031,conventional,204.44725154351516,tracker_new_301_2026-07-01,level
2031,dynamic,190.95925154351517,tracker_new_301_2026-07-01,level
2032,conventional,212.56665904128727,tracker_new_301_2026-07-01,level
2032,dynamic,198.14765904128728,tracker_new_301_2026-07-01,level
2033,conventional,220.8217367907539,tracker_new_301_2026-07-01,level
2033,dynamic,205.4537367907539,tracker_new_301_2026-07-01,level
2034,conventional,229.26985913645825,tracker_new_301_2026-07-01,level
2034,dynamic,212.92885913645824,tracker_new_301_2026-07-01,level
2035,conventional,237.607115597908,tracker_new_301_2026-07-01,level
2035,dynamic,220.227115597908,tracker_new_301_2026-07-01,level
Total,conventional,1931.8578155925545,tracker_new_301_2026-07-01,level
Total,dynamic,1803.1998155925546,tracker_new_301_2026-07-01,level
2026,conventional,16.911636264827933,tracker_new_301_2026-07-01,delta_vs_default
2026,dynamic,15.305636264827932,tracker_new_301_2026-07-01,delta_vs_default
2027,conventional,69.17673057815401,tracker_new_301_2026-07-01,delta_vs_default
2027,dynamic,64.46873057815401,tracker_new_301_2026-07-01,delta_vs_default
2028,conventional,71.18985309150823,tracker_new_301_2026-07-01,delta_vs_default
2028,dynamic,66.22485309150824,tracker_new_301_2026-07-01,delta_vs_default
2029,conventional,72.93636944413267,tracker_new_301_2026-07-01,delta_vs_default
2029,dynamic,67.53536944413268,tracker_new_301_2026-07-01,delta_vs_default
2030,conventional,74.77865948000208,tracker_new_301_2026-07-01,delta_vs_default
2030,dynamic,68.76065948000208,tracker_new_301_2026-07-01,delta_vs_default
2031,conventional,77.03978465366792,tracker_new_301_2026-07-01,delta_vs_default
2031,dynamic,70.56178465366793,tracker_new_301_2026-07-01,delta_vs_default
2032,conventional,80.09793385373985,tracker_new_301_2026-07-01,delta_vs_default
2032,dynamic,73.16493385373987,tracker_new_301_2026-07-01,delta_vs_default
2033,conventional,83.20794874909754,tracker_new_301_2026-07-01,delta_vs_default
2033,dynamic,75.80994874909754,tracker_new_301_2026-07-01,delta_vs_default
2034,conventional,86.38984319773493,tracker_new_301_2026-07-01,delta_vs_default
2034,dynamic,78.51484319773493,tracker_new_301_2026-07-01,delta_vs_default
2035,conventional,89.53079440523402,tracker_new_301_2026-07-01,delta_vs_default
2035,dynamic,81.14679440523403,tracker_new_301_2026-07-01,delta_vs_default
Total,conventional,721.2595537180991,tracker_new_301_2026-07-01,delta_vs_default
Total,dynamic,661.4935537180993,tracker_new_301_2026-07-01,delta_vs_default
