category,series,value
2026,conventional,245.940219119238
2027,conventional,237.960456644856
2028,conventional,246.930393024716
2029,conventional,255.126175804028
2030,conventional,263.813692111214
2031,conventional,274.116685593061
2032,conventional,285.022005974288
2033,conventional,296.099153056683
2034,conventional,307.446846923937
2035,conventional,318.634587377838
2026-35,conventional,2731.09021562986
2026,dynamic,205.037219119238
2027,dynamic,186.225456644856
2028,dynamic,203.095393024716
2029,dynamic,219.988175804028
2030,dynamic,231.942692111214
2031,dynamic,241.625685593061
2032,dynamic,250.622005974288
2033,dynamic,259.597153056683
2034,dynamic,268.781846923937
2035,dynamic,277.647587377838
2026-35,dynamic,2344.56321562986
2026,difference,-40.90300000000002
2027,difference,-51.735000000000014
2028,difference,-43.83500000000001
2029,difference,-35.138000000000005
2030,difference,-31.87099999999998
2031,difference,-32.490999999999985
2032,difference,-34.400000000000006
2033,difference,-36.50200000000001
2034,difference,-38.66500000000002
2035,difference,-40.986999999999966
2026-35,difference,-386.5269999999996
