category,value,country_code,substitution,scenario
China,2.7470098881686336,chn,presub,baseline
China,2.4245400422171604,chn,postsub,baseline
Canada,0.9997212009496644,ca,presub,baseline
Canada,1.1828920362994506,ca,postsub,baseline
Mexico,1.651800551973195,mx,presub,baseline
Mexico,2.0592157941393596,mx,postsub,baseline
Rest of World,10.059385178723165,row,presub,baseline
Rest of World,9.276713766408998,row,postsub,baseline
Total,15.457916819814658,total,presub,baseline
Total,14.943361639064968,total,postsub,baseline
China,0.8776529599261964,chn,presub,ieepa_invalidation
China,0.846469602871933,chn,postsub,ieepa_invalidation
Canada,0.8028545436916565,ca,presub,ieepa_invalidation
Canada,0.8627171616790228,ca,postsub,ieepa_invalidation
Mexico,1.3470255358299603,mx,presub,ieepa_invalidation
Mexico,1.4618661139944005,mx,postsub,ieepa_invalidation
Rest of World,3.6314610095910123,row,presub,ieepa_invalidation
Rest of World,3.5206750208705837,row,postsub,ieepa_invalidation
Total,6.658994049038825,total,presub,ieepa_invalidation
Total,6.691727899415939,total,postsub,ieepa_invalidation
