category,value,substitution,scenario,measure,basis
9,-0.6278615361168787,postsub,tracker_no_fl_301_keep_s122_2026-07-24,level,% of after-tax income
10,-0.4416052014109786,postsub,tracker_no_fl_301_keep_s122_2026-07-24,level,% of after-tax income
Total,-0.6419369307872216,postsub,tracker_no_fl_301_keep_s122_2026-07-24,level,% of after-tax income
1,0.7418901627138316,presub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
2,0.4578874094625843,presub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
3,0.4419167516430533,presub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
4,0.3924020527760018,presub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
5,0.4020240201143176,presub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
6,0.39624526275677785,presub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
7,0.3775771692479664,presub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
8,0.3639468491137303,presub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
9,0.33381205902528843,presub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
10,0.234786068391733,presub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
Total,0.3412954549752293,presub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
1,0.6201061703938452,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
2,0.38272351113910774,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
3,0.36937449539948297,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
4,0.32798781602859683,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
5,0.33603030212383167,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
6,0.3312001489896928,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
7,0.3155964915264942,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
8,0.3042036384540597,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
9,0.27901558472787186,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
10,0.19624507379859138,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
Total,0.2852705537748852,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default,% of after-tax income
1,-0.03709347421956455,presub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,% of after-tax income
2,-0.02289373235012837,presub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,% of after-tax income
3,-0.02209522171624767,presub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,% of after-tax income
4,-0.01961955577778063,presub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,% of after-tax income
5,-0.020100640735289055,presub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,% of after-tax income
6,-0.019811710920828784,presub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,% of after-tax income
7,-0.018878332261696218,presub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,% of after-tax income
8,-0.018196835250529286,presub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,% of after-tax income
9,-0.016690137742681466,presub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,% of after-tax income
10,-0.011738976216026209,presub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,% of after-tax income
Total,-0.01706429711113644,presub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,% of after-tax income
1,-0.07164656192812058,postsub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,% of after-tax income
2,-0.04421956279641637,postsub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,% of after-tax income
3,-0.04267722838896937,postsub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,% of after-tax income
4,-0.0378954451587491,postsub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,% of after-tax income
5,-0.038824667452590056,postsub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,% of after-tax income
6,-0.03826659549302924,postsub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,% of after-tax income
7,-0.03646376161696541,postsub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,% of after-tax income
8,-0.035147440651035144,postsub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,% of after-tax income
9,-0.03223723343604179,postsub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,% of after-tax income
10,-0.02267399600953718,postsub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,% of after-tax income
Total,-0.03295992746584098,postsub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,% of after-tax income
1,-583.2690787068367,presub,tracker_actual_2026-07-24,level,2025 dollars
2,-583.1629068992321,presub,tracker_actual_2026-07-24,level,2025 dollars
3,-684.9550321933492,presub,tracker_actual_2026-07-24,level,2025 dollars
4,-714.8089779179024,presub,tracker_actual_2026-07-24,level,2025 dollars
5,-864.7730855098522,presub,tracker_actual_2026-07-24,level,2025 dollars
