time,industry,series,variant,value
10,natural-resources-and-mining,Baseline Jan 2021,indexed,7.408609
11,natural-resources-and-mining,Baseline Jan 2021,indexed,7.710983
12,natural-resources-and-mining,Baseline Jan 2021,indexed,7.835675
13,natural-resources-and-mining,Baseline Jan 2021,indexed,7.924403
14,natural-resources-and-mining,Baseline Jan 2021,indexed,7.805802
15,natural-resources-and-mining,Baseline Jan 2021,indexed,8.137668
16,natural-resources-and-mining,Baseline Jan 2021,indexed,8.287702
17,natural-resources-and-mining,Baseline Jan 2021,indexed,8.461901
18,natural-resources-and-mining,Baseline Jan 2021,indexed,8.706388
19,natural-resources-and-mining,Baseline Jan 2021,indexed,9.01479
20,natural-resources-and-mining,Baseline Jan 2021,indexed,9.307098
21,natural-resources-and-mining,Baseline Jan 2021,indexed,9.59178
22,natural-resources-and-mining,Baseline Jan 2021,indexed,9.744582
23,natural-resources-and-mining,Baseline Jan 2021,indexed,10.032708
24,natural-resources-and-mining,Baseline Jan 2021,indexed,10.429887
25,natural-resources-and-mining,Baseline Jan 2021,indexed,10.396111
26,natural-resources-and-mining,Baseline Jan 2021,indexed,10.536127
27,natural-resources-and-mining,Baseline Jan 2021,indexed,10.564391
28,natural-resources-and-mining,Baseline Jan 2021,indexed,10.471148
29,natural-resources-and-mining,Baseline Jan 2021,indexed,10.337728
30,natural-resources-and-mining,Baseline Jan 2021,indexed,10.498647
31,natural-resources-and-mining,Baseline Jan 2021,indexed,10.390142
32,natural-resources-and-mining,Baseline Jan 2021,indexed,10.093774
33,natural-resources-and-mining,Baseline Jan 2021,indexed,10.010917
34,natural-resources-and-mining,Baseline Jan 2021,indexed,9.776513
35,natural-resources-and-mining,Baseline Jan 2021,indexed,9.667436
36,natural-resources-and-mining,Baseline Jan 2021,indexed,9.68593
37,natural-resources-and-mining,Baseline Jan 2021,indexed,9.662279
38,natural-resources-and-mining,Baseline Jan 2021,indexed,9.635651
39,natural-resources-and-mining,Baseline Jan 2021,indexed,9.658142
40,natural-resources-and-mining,Baseline Jan 2021,indexed,9.740355
41,natural-resources-and-mining,Baseline Jan 2021,indexed,9.566989
42,natural-resources-and-mining,Baseline Jan 2021,indexed,9.409423
43,natural-resources-and-mining,Baseline Jan 2021,indexed,8.812527
44,natural-resources-and-mining,Baseline Jan 2021,indexed,8.620187
45,natural-resources-and-mining,Baseline Jan 2021,indexed,9.050589
46,natural-resources-and-mining,Baseline Jan 2021,indexed,9.015808
47,natural-resources-and-mining,Baseline Jan 2021,indexed,9.331352
48,natural-resources-and-mining,Baseline Jan 2021,indexed,9.275033
49,natural-resources-and-mining,Baseline Jan 2021,indexed,9.171951
50,natural-resources-and-mining,Baseline Jan 2021,indexed,9.057492
51,natural-resources-and-mining,Baseline Jan 2021,indexed,8.948102
52,natural-resources-and-mining,Baseline Jan 2021,indexed,9.164203
53,natural-resources-and-mining,Baseline Jan 2021,indexed,9.544312
54,natural-resources-and-mining,Baseline Jan 2021,indexed,9.485593
55,natural-resources-and-mining,Baseline Jan 2021,indexed,9.177245
56,natural-resources-and-mining,Baseline Jan 2021,indexed,8.884297
57,natural-resources-and-mining,Baseline Jan 2021,indexed,
58,natural-resources-and-mining,Baseline Jan 2021,indexed,8.56214
59,natural-resources-and-mining,Baseline Jan 2021,indexed,8.877413
60,natural-resources-and-mining,Baseline Jan 2021,indexed,8.710461
61,natural-resources-and-mining,Baseline Jan 2021,indexed,8.950776
62,natural-resources-and-mining,Baseline Jan 2021,indexed,8.704814
63,natural-resources-and-mining,Baseline Jan 2021,indexed,9.073977
64,natural-resources-and-mining,Baseline Jan 2021,indexed,9.391624
65,natural-resources-and-mining,Baseline Jan 2021,indexed,9.234707
66,natural-resources-and-mining,Baseline Jan 2021,indexed,9.239754
0,natural-resources-and-mining,Baseline Jan 2022,indexed,0.0
1,natural-resources-and-mining,Baseline Jan 2022,indexed,1.299659
2,natural-resources-and-mining,Baseline Jan 2022,indexed,2.425859
3,natural-resources-and-mining,Baseline Jan 2022,indexed,3.508156
4,natural-resources-and-mining,Baseline Jan 2022,indexed,4.251286
5,natural-resources-and-mining,Baseline Jan 2022,indexed,5.300512
6,natural-resources-and-mining,Baseline Jan 2022,indexed,6.238904
7,natural-resources-and-mining,Baseline Jan 2022,indexed,7.027475
8,natural-resources-and-mining,Baseline Jan 2022,indexed,7.718154
9,natural-resources-and-mining,Baseline Jan 2022,indexed,8.854423
10,natural-resources-and-mining,Baseline Jan 2022,indexed,9.323143
11,natural-resources-and-mining,Baseline Jan 2022,indexed,10.163469
12,natural-resources-and-mining,Baseline Jan 2022,indexed,10.852231
13,natural-resources-and-mining,Baseline Jan 2022,indexed,10.897576
14,natural-resources-and-mining,Baseline Jan 2022,indexed,11.157518
15,natural-resources-and-mining,Baseline Jan 2022,indexed,11.408496
16,natural-resources-and-mining,Baseline Jan 2022,indexed,11.554103
17,natural-resources-and-mining,Baseline Jan 2022,indexed,11.688074
18,natural-resources-and-mining,Baseline Jan 2022,indexed,11.867876
19,natural-resources-and-mining,Baseline Jan 2022,indexed,11.811492
20,natural-resources-and-mining,Baseline Jan 2022,indexed,11.489528
21,natural-resources-and-mining,Baseline Jan 2022,indexed,11.351037
22,natural-resources-and-mining,Baseline Jan 2022,indexed,11.278156
23,natural-resources-and-mining,Baseline Jan 2022,indexed,10.978177
24,natural-resources-and-mining,Baseline Jan 2022,indexed,10.703988
25,natural-resources-and-mining,Baseline Jan 2022,indexed,10.590402
26,natural-resources-and-mining,Baseline Jan 2022,indexed,10.344223
27,natural-resources-and-mining,Baseline Jan 2022,indexed,10.266
28,natural-resources-and-mining,Baseline Jan 2022,indexed,10.207537
29,natural-resources-and-mining,Baseline Jan 2022,indexed,9.857529
30,natural-resources-and-mining,Baseline Jan 2022,indexed,9.631325
31,natural-resources-and-mining,Baseline Jan 2022,indexed,9.215457
32,natural-resources-and-mining,Baseline Jan 2022,indexed,9.11922
33,natural-resources-and-mining,Baseline Jan 2022,indexed,9.231424
34,natural-resources-and-mining,Baseline Jan 2022,indexed,9.426842
35,natural-resources-and-mining,Baseline Jan 2022,indexed,10.088621
36,natural-resources-and-mining,Baseline Jan 2022,indexed,10.218825
37,natural-resources-and-mining,Baseline Jan 2022,indexed,10.340173
38,natural-resources-and-mining,Baseline Jan 2022,indexed,10.123076
39,natural-resources-and-mining,Baseline Jan 2022,indexed,9.745934
40,natural-resources-and-mining,Baseline Jan 2022,indexed,9.61064
41,natural-resources-and-mining,Baseline Jan 2022,indexed,9.72163
42,natural-resources-and-mining,Baseline Jan 2022,indexed,9.715818
43,natural-resources-and-mining,Baseline Jan 2022,indexed,9.375543
44,natural-resources-and-mining,Baseline Jan 2022,indexed,9.087654
45,natural-resources-and-mining,Baseline Jan 2022,indexed,
46,natural-resources-and-mining,Baseline Jan 2022,indexed,8.988505
47,natural-resources-and-mining,Baseline Jan 2022,indexed,9.025801
48,natural-resources-and-mining,Baseline Jan 2022,indexed,9.222267
49,natural-resources-and-mining,Baseline Jan 2022,indexed,9.789073
50,natural-resources-and-mining,Baseline Jan 2022,indexed,9.833342
51,natural-resources-and-mining,Baseline Jan 2022,indexed,10.197208
52,natural-resources-and-mining,Baseline Jan 2022,indexed,10.247301
53,natural-resources-and-mining,Baseline Jan 2022,indexed,9.949714
54,natural-resources-and-mining,Baseline Jan 2022,indexed,9.9344
55,natural-resources-and-mining,Baseline Jan 2022,indexed,
56,natural-resources-and-mining,Baseline Jan 2022,indexed,
57,natural-resources-and-mining,Baseline Jan 2022,indexed,
58,natural-resources-and-mining,Baseline Jan 2022,indexed,
59,natural-resources-and-mining,Baseline Jan 2022,indexed,
60,natural-resources-and-mining,Baseline Jan 2022,indexed,
61,natural-resources-and-mining,Baseline Jan 2022,indexed,
62,natural-resources-and-mining,Baseline Jan 2022,indexed,
63,natural-resources-and-mining,Baseline Jan 2022,indexed,
64,natural-resources-and-mining,Baseline Jan 2022,indexed,
65,natural-resources-and-mining,Baseline Jan 2022,indexed,
66,natural-resources-and-mining,Baseline Jan 2022,indexed,
0,natural-resources-and-mining,Baseline Jul 2022,indexed,0.0
1,natural-resources-and-mining,Baseline Jul 2022,indexed,1.420177
2,natural-resources-and-mining,Baseline Jul 2022,indexed,2.584976
3,natural-resources-and-mining,Baseline Jul 2022,indexed,3.943619
4,natural-resources-and-mining,Baseline Jul 2022,indexed,4.771309
5,natural-resources-and-mining,Baseline Jul 2022,indexed,5.779027
6,natural-resources-and-mining,Baseline Jul 2022,indexed,6.599666
7,natural-resources-and-mining,Baseline Jul 2022,indexed,6.829699
8,natural-resources-and-mining,Baseline Jul 2022,indexed,7.506767
9,natural-resources-and-mining,Baseline Jul 2022,indexed,7.892123
10,natural-resources-and-mining,Baseline Jul 2022,indexed,8.290936
11,natural-resources-and-mining,Baseline Jul 2022,indexed,8.649996
12,natural-resources-and-mining,Baseline Jul 2022,indexed,9.040023
13,natural-resources-and-mining,Baseline Jul 2022,indexed,9.188383
14,natural-resources-and-mining,Baseline Jul 2022,indexed,9.124348
15,natural-resources-and-mining,Baseline Jul 2022,indexed,9.283963
16,natural-resources-and-mining,Baseline Jul 2022,indexed,9.200228
17,natural-resources-and-mining,Baseline Jul 2022,indexed,9.216823
18,natural-resources-and-mining,Baseline Jul 2022,indexed,9.181077
19,natural-resources-and-mining,Baseline Jul 2022,indexed,9.395884
20,natural-resources-and-mining,Baseline Jul 2022,indexed,8.982308
21,natural-resources-and-mining,Baseline Jul 2022,indexed,8.978894
22,natural-resources-and-mining,Baseline Jul 2022,indexed,9.099632
23,natural-resources-and-mining,Baseline Jul 2022,indexed,8.739542
24,natural-resources-and-mining,Baseline Jul 2022,indexed,8.628762
25,natural-resources-and-mining,Baseline Jul 2022,indexed,8.696794
26,natural-resources-and-mining,Baseline Jul 2022,indexed,8.957846
27,natural-resources-and-mining,Baseline Jul 2022,indexed,9.343139
28,natural-resources-and-mining,Baseline Jul 2022,indexed,9.137781
29,natural-resources-and-mining,Baseline Jul 2022,indexed,9.050141
30,natural-resources-and-mining,Baseline Jul 2022,indexed,9.236414
31,natural-resources-and-mining,Baseline Jul 2022,indexed,8.95967
32,natural-resources-and-mining,Baseline Jul 2022,indexed,9.098602
33,natural-resources-and-mining,Baseline Jul 2022,indexed,9.408854
34,natural-resources-and-mining,Baseline Jul 2022,indexed,9.807118
35,natural-resources-and-mining,Baseline Jul 2022,indexed,10.133092
36,natural-resources-and-mining,Baseline Jul 2022,indexed,10.240264
37,natural-resources-and-mining,Baseline Jul 2022,indexed,9.86587
38,natural-resources-and-mining,Baseline Jul 2022,indexed,9.786283
39,natural-resources-and-mining,Baseline Jul 2022,indexed,
40,natural-resources-and-mining,Baseline Jul 2022,indexed,10.098959
41,natural-resources-and-mining,Baseline Jul 2022,indexed,10.283802
42,natural-resources-and-mining,Baseline Jul 2022,indexed,10.121466
43,natural-resources-and-mining,Baseline Jul 2022,indexed,10.217129
44,natural-resources-and-mining,Baseline Jul 2022,indexed,9.902597
45,natural-resources-and-mining,Baseline Jul 2022,indexed,9.894831
46,natural-resources-and-mining,Baseline Jul 2022,indexed,9.830654
47,natural-resources-and-mining,Baseline Jul 2022,indexed,9.630451
48,natural-resources-and-mining,Baseline Jul 2022,indexed,9.599535
49,natural-resources-and-mining,Baseline Jul 2022,indexed,
50,natural-resources-and-mining,Baseline Jul 2022,indexed,
51,natural-resources-and-mining,Baseline Jul 2022,indexed,
52,natural-resources-and-mining,Baseline Jul 2022,indexed,
53,natural-resources-and-mining,Baseline Jul 2022,indexed,
54,natural-resources-and-mining,Baseline Jul 2022,indexed,
55,natural-resources-and-mining,Baseline Jul 2022,indexed,
56,natural-resources-and-mining,Baseline Jul 2022,indexed,
57,natural-resources-and-mining,Baseline Jul 2022,indexed,
58,natural-resources-and-mining,Baseline Jul 2022,indexed,
59,natural-resources-and-mining,Baseline Jul 2022,indexed,
60,natural-resources-and-mining,Baseline Jul 2022,indexed,
61,natural-resources-and-mining,Baseline Jul 2022,indexed,
62,natural-resources-and-mining,Baseline Jul 2022,indexed,
63,natural-resources-and-mining,Baseline Jul 2022,indexed,
64,natural-resources-and-mining,Baseline Jul 2022,indexed,
65,natural-resources-and-mining,Baseline Jul 2022,indexed,
66,natural-resources-and-mining,Baseline Jul 2022,indexed,
2022-01-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,7.835675
2022-02-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,7.978879
2022-03-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,7.412763
2022-04-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,7.504854
2022-05-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,7.551422
2022-06-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,8.273484
2022-07-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,8.474028
2022-08-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,8.707651
2022-09-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,9.041588
2022-10-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,10.048499
2022-11-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,10.159174
2022-12-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,10.495827
