category,value,substitution,scenario,measure,basis
1,-0.7458966036623523,presub,tracker_actual_2026-07-01,level,% of after-tax income
2,-0.4603601459393323,presub,tracker_actual_2026-07-01,level,% of after-tax income
3,-0.4443032415287575,presub,tracker_actual_2026-07-01,level,% of after-tax income
4,-0.39452114766570145,presub,tracker_actual_2026-07-01,level,% of after-tax income
5,-0.4041950766634203,presub,tracker_actual_2026-07-01,level,% of after-tax income
6,-0.3983851121929247,presub,tracker_actual_2026-07-01,level,% of after-tax income
7,-0.3796162050892936,presub,tracker_actual_2026-07-01,level,% of after-tax income
8,-0.365912276925902,presub,tracker_actual_2026-07-01,level,% of after-tax income
9,-0.3356147494633132,presub,tracker_actual_2026-07-01,level,% of after-tax income
10,-0.23605398723716667,presub,tracker_actual_2026-07-01,level,% of after-tax income
Total,-0.34313855811243077,presub,tracker_actual_2026-07-01,level,% of after-tax income
1,-0.6378550509787726,postsub,tracker_actual_2026-07-01,level,% of after-tax income
2,-0.39367794800906813,postsub,tracker_actual_2026-07-01,level,% of after-tax income
3,-0.3799468523973166,postsub,tracker_actual_2026-07-01,level,% of after-tax income
4,-0.3373755900226943,postsub,tracker_actual_2026-07-01,level,% of after-tax income
5,-0.345648270771886,postsub,tracker_actual_2026-07-01,level,% of after-tax income
6,-0.3406798674230615,postsub,tracker_actual_2026-07-01,level,% of after-tax income
7,-0.32462959699868804,postsub,tracker_actual_2026-07-01,level,% of after-tax income
8,-0.31291065397850176,postsub,tracker_actual_2026-07-01,level,% of after-tax income
9,-0.2870016595826398,postsub,tracker_actual_2026-07-01,level,% of after-tax income
10,-0.20186206415690253,postsub,tracker_actual_2026-07-01,level,% of after-tax income
Total,-0.2934356603890168,postsub,tracker_actual_2026-07-01,level,% of after-tax income
1,-1.5997634617124623,presub,tracker_new_301_2026-07-01,level,% of after-tax income
2,-0.9873584851925936,presub,tracker_new_301_2026-07-01,level,% of after-tax income
3,-0.9529204024099094,presub,tracker_new_301_2026-07-01,level,% of after-tax income
4,-0.846150141734868,presub,tracker_new_301_2026-07-01,level,% of after-tax income
5,-0.8668983232733872,presub,tracker_new_301_2026-07-01,level,% of after-tax income
6,-0.8544373885699573,presub,tracker_new_301_2026-07-01,level,% of after-tax income
7,-0.8141827317539353,presub,tracker_new_301_2026-07-01,level,% of after-tax income
8,-0.7847912002064203,presub,tracker_new_301_2026-07-01,level,% of after-tax income
9,-0.7198105082755317,presub,tracker_new_301_2026-07-01,level,% of after-tax income
10,-0.5062773337744041,presub,tracker_new_301_2026-07-01,level,% of after-tax income
Total,-0.7359472142354144,presub,tracker_new_301_2026-07-01,level,% of after-tax income
1,-1.3783876931357453,postsub,tracker_new_301_2026-07-01,level,% of after-tax income
2,-0.8507275089567206,postsub,tracker_new_301_2026-07-01,level,% of after-tax income
3,-0.8210549788490328,postsub,tracker_new_301_2026-07-01,level,% of after-tax income
4,-0.7290596202665621,postsub,tracker_new_301_2026-07-01,level,% of after-tax income
5,-0.7469366619493539,postsub,tracker_new_301_2026-07-01,level,% of after-tax income
6,-0.7362000752906053,postsub,tracker_new_301_2026-07-01,level,% of after-tax income
7,-0.7015158704849696,postsub,tracker_new_301_2026-07-01,level,% of after-tax income
8,-0.6761915482728977,postsub,tracker_new_301_2026-07-01,level,% of after-tax income
9,-0.6202029048311333,postsub,tracker_new_301_2026-07-01,level,% of after-tax income
10,-0.436218517855889,postsub,tracker_new_301_2026-07-01,level,% of after-tax income
Total,-0.6341066083693068,postsub,tracker_new_301_2026-07-01,level,% of after-tax income
1,-0.85386685805011,presub,tracker_new_301_2026-07-01,delta_vs_default,% of after-tax income
2,-0.5269983392532613,presub,tracker_new_301_2026-07-01,delta_vs_default,% of after-tax income
3,-0.5086171608811518,presub,tracker_new_301_2026-07-01,delta_vs_default,% of after-tax income
4,-0.45162899406916657,presub,tracker_new_301_2026-07-01,delta_vs_default,% of after-tax income
