category,value,dimension,category_code,group
Agriculture,-0.9243761765943774,sector,agriculture,Sectors
Mining & Extraction,-0.7282414150057077,sector,mining_and_extraction,Sectors
Total Manufacturing,1.2962077371249556,sector,total_manufacturing,Sectors
Durable Manufacturing,2.5997923126068594,sector,durable_manufacturing,Manufacturing detail
Advanced Manufacturing,-1.83,sector,advanced_manufacturing,Manufacturing detail
Nondurable Manufacturing,0.5199819235215177,sector,nondurable_manufacturing,Manufacturing detail
Utilities,0.22994022407626497,sector,utilities,Sectors
Construction,-2.87,sector,construction,Sectors
Services,-0.02583792378104688,sector,services,Sectors
Overall Real GDP,-0.32,sector,overall_real_gdp,Sectors
USA,-0.32,country,usa,Trading partners
China,-0.26,country,china,Trading partners
ROW,0.04,country,row,Trading partners
Canada,-1.92,country,canada,Trading partners
Mexico,0.0,country,mexico,Trading partners
FTROW,0.06,country,ftrow,Trading partners
Japan,0.02,country,japan,Trading partners
EU,0.08,country,eu,Trading partners
UK,0.15,country,uk,Trading partners
World Total,-0.12161525396631179,country,world_total,Trading partners
World ex USA,-0.05944587680795088,country,world_ex_usa,Trading partners
