time,series,value,lower_ci,upper_ci
2005Q1,Synthetic,2.97085,,
2005Q1,Treated,3.3565,,
2005Q2,Synthetic,2.9376,,
2005Q2,Treated,3.36612,,
2005Q3,Synthetic,2.9508,,
2005Q3,Treated,3.34766,,
2005Q4,Synthetic,2.95984,,
2005Q4,Treated,3.33639,,
2006Q1,Synthetic,2.97024,,
2006Q1,Treated,3.321,,
2006Q2,Synthetic,2.95798,,
2006Q2,Treated,3.32731,,
2006Q3,Synthetic,2.97397,,
2006Q3,Treated,3.34295,,
2006Q4,Synthetic,2.96333,,
2006Q4,Treated,3.3501,,
2007Q1,Synthetic,2.96597,,
2007Q1,Treated,3.34166,,
2007Q2,Synthetic,2.97467,,
2007Q2,Treated,3.33041,,
2007Q3,Synthetic,2.96724,,
2007Q3,Treated,3.35918,,
2007Q4,Synthetic,2.95054,,
2007Q4,Treated,3.35314,,
2008Q1,Synthetic,2.97891,,
2008Q1,Treated,3.35635,,
2008Q2,Synthetic,2.97485,,
2008Q2,Treated,3.33469,,
2008Q3,Synthetic,2.95517,,
2008Q3,Treated,3.31683,,
2008Q4,Synthetic,2.97911,,
2008Q4,Treated,3.37035,,
2009Q1,Synthetic,2.97259,,
2009Q1,Treated,3.35211,,
2009Q2,Synthetic,2.97846,,
2009Q2,Treated,3.36243,,
2009Q3,Synthetic,2.98693,,
2009Q3,Treated,3.3609,,
2009Q4,Synthetic,2.98443,,
2009Q4,Treated,3.34655,,
2010Q1,Synthetic,2.99037,,
2010Q1,Treated,3.33547,,
2010Q2,Synthetic,2.95973,,
2010Q2,Treated,3.36107,,
2010Q3,Synthetic,2.9704,,
2010Q3,Treated,3.34047,,
2010Q4,Synthetic,2.96137,,
2010Q4,Treated,3.33606,,
2011Q1,Synthetic,2.96955,,
2011Q1,Treated,3.34305,,
2011Q2,Synthetic,2.95061,,
2011Q2,Treated,3.32332,,
2011Q3,Synthetic,2.93913,,
2011Q3,Treated,3.32519,,
2011Q4,Synthetic,2.94854,,
2011Q4,Treated,3.32639,,
2012Q1,Synthetic,2.93165,,
2012Q1,Treated,3.33182,,
2012Q2,Synthetic,2.9472,,
2012Q2,Treated,3.33095,,
2012Q3,Synthetic,2.92628,,
2012Q3,Treated,3.32635,,
2012Q4,Synthetic,2.93158,,
2012Q4,Treated,3.33049,,
2013Q1,Synthetic,2.93113,,
2013Q1,Treated,3.33978,,
