category,series,value,unit,metric
Tariff rate,"Additional effective rate, pre-substitution (p.p.)",15.79216680953064,pp,etr_addl_presub
Tariff rate,"Additional effective rate, post-substitution (p.p.)",14.914502335554246,pp,etr_addl_postsub
Consumer price increase,Pre-substitution,1.8101119346984413,pct,price_presub
Household cost,Pre-substitution,-2403.796541672539,usd,hh_cost_presub
Real GDP,"Q4-Q4 growth (p.p.), 2025",-0.5270812791309698,pp,gdp_growth_2025
Real GDP,"Q4-Q4 growth (p.p.), 2026",-0.4657866923634124,pp,gdp_growth_2026
Real GDP,Long-run,-0.38,pct,gdp_longrun
Labor market,"Unemployment rate (p.p.), end of 2025",0.2920112609863281,pp,unemployment_2025
Labor market,"Change in payroll employment, 2025 Q4 (thousands)",-493.83544921875,thousands,payroll_employment_2025
Revenue (10-year),Conventional,2743.4468156477997,usd_b,revenue_conventional
Revenue (10-year),"Add'l 2026-35 Dynamic Revenue Effects ($bn)",-455.915,usd_b,revenue_dynamic
