category,value,country_code,substitution
China,3.871161637922298,chn,Pre-substitution
China,2.4457121822504004,chn,Post-substitution
Canada,0.8446217686343938,ca,Pre-substitution
Canada,1.0106445103753683,ca,Post-substitution
Mexico,1.1397012808424003,mx,Pre-substitution
Mexico,1.4194498457586537,mx,Post-substitution
Rest of World,9.5827312486654,row,Pre-substitution
Rest of World,9.37430690677883,row,Post-substitution
Total,15.438215936064491,total,Pre-substitution
Total,14.250113445163253,total,Post-substitution
