category,series,value
2026,conventional,80.86833317274738
2026,dynamic,67.18433317274739
2027,conventional,144.99305979460584
2027,dynamic,137.41105979460585
2028,conventional,190.99387784359027
2028,dynamic,183.99487784359027
2029,conventional,194.12608046051932
2029,dynamic,183.4040804605193
2030,conventional,197.41088561201212
2030,dynamic,184.88588561201212
2031,conventional,201.68553946784263
2031,dynamic,188.2285394678427
2032,conventional,209.69262879417784
2032,dynamic,195.30662879417784
2033,conventional,217.8349508151036
2033,dynamic,202.5019508151036
2034,conventional,226.1660872173406
2034,dynamic,209.8630872173406
2035,conventional,234.38942100724176
2035,dynamic,217.04942100724176
Total,conventional,1898.1608641851813
Total,dynamic,1769.8298641851813
