category,series,rate_group,duration,value,unit,metric
Tariff rate,"Effective rate, pre-substitution",current,only,9.137318822243504,pct,etr_presub_level
Tariff rate,"Effective rate, pre-substitution",before_scotus,only,15.98400186657739,pct,etr_presub_level
Tariff rate,"Effective rate, pre-substitution",immediately_following_scotus,only,9.137318822243504,pct,etr_presub_level
Tariff rate,"Effective rate, pre-substitution",pct10,expires,9.137318822243504,pct,etr_presub_level
Tariff rate,"Effective rate, pre-substitution",pct10,extended,12.20059292356644,pct,etr_presub_level
Tariff rate,"Effective rate, pre-substitution",pct15,expires,9.137318822243499,pct,etr_presub_level
Tariff rate,"Effective rate, pre-substitution",pct15,extended,13.7322299742279,pct,etr_presub_level
Tariff rate,"Effective rate, post-substitution",current,only,7.968423956883649,pct,etr_postsub_level
Tariff rate,"Effective rate, post-substitution",before_scotus,only,13.71702213552857,pct,etr_postsub_level
Tariff rate,"Effective rate, post-substitution",immediately_following_scotus,only,7.968423956883649,pct,etr_postsub_level
Tariff rate,"Effective rate, post-substitution",pct10,expires,7.968423956883649,pct,etr_postsub_level
Tariff rate,"Effective rate, post-substitution",pct10,extended,10.923710062420371,pct,etr_postsub_level
Tariff rate,"Effective rate, post-substitution",pct15,expires,7.968423956883649,pct,etr_postsub_level
Tariff rate,"Effective rate, post-substitution",pct15,extended,12.1751543397031,pct,etr_postsub_level
Consumer price increase,Pre-substitution,current,only,0.5767845344630138,pct,price_presub
Consumer price increase,Pre-substitution,before_scotus,only,1.164501979759557,pct,price_presub
Consumer price increase,Pre-substitution,immediately_following_scotus,only,0.5767845344630138,pct,price_presub
Consumer price increase,Pre-substitution,pct10,expires,0.5767845344630138,pct,price_presub
Consumer price increase,Pre-substitution,pct10,extended,0.839735165800109,pct,price_presub
Consumer price increase,Pre-substitution,pct15,expires,0.576784534463014,pct,price_presub
Consumer price increase,Pre-substitution,pct15,extended,0.9712104814686561,pct,price_presub
Consumer price increase,Post-substitution,current,only,0.45643235134691007,pct,price_postsub
Consumer price increase,Post-substitution,before_scotus,only,0.8815772227089637,pct,price_postsub
Consumer price increase,Post-substitution,immediately_following_scotus,only,0.45643235134691007,pct,price_postsub
Consumer price increase,Post-substitution,pct10,expires,0.45643235134691007,pct,price_postsub
Consumer price increase,Post-substitution,pct10,extended,0.6799299396805187,pct,price_postsub
Consumer price increase,Post-substitution,pct15,expires,0.45643235134691,pct,price_postsub
Consumer price increase,Post-substitution,pct15,extended,0.769430764349365,pct,price_postsub
Household cost,Pre-substitution,current,only,780.9291897760387,usd,hh_cost_presub
Household cost,Pre-substitution,before_scotus,only,1576.660838163542,usd,hh_cost_presub
Household cost,Pre-substitution,immediately_following_scotus,only,780.9291897760387,usd,hh_cost_presub
Household cost,Pre-substitution,pct10,expires,780.9291897760387,usd,hh_cost_presub
Household cost,Pre-substitution,pct10,extended,1136.947444794531,usd,hh_cost_presub
Household cost,Pre-substitution,pct15,expires,780.929189776039,usd,hh_cost_presub
Household cost,Pre-substitution,pct15,extended,1314.95657230378,usd,hh_cost_presub
Household cost,Post-substitution,current,only,617.9800688601359,usd,hh_cost_postsub
Household cost,Post-substitution,before_scotus,only,1193.598900664123,usd,hh_cost_postsub
Household cost,Post-substitution,immediately_following_scotus,only,617.9800688601359,usd,hh_cost_postsub
Household cost,Post-substitution,pct10,expires,617.9800688601359,usd,hh_cost_postsub
Household cost,Post-substitution,pct10,extended,920.5814392952091,usd,hh_cost_postsub
Household cost,Post-substitution,pct15,expires,617.980068860136,usd,hh_cost_postsub
Household cost,Post-substitution,pct15,extended,1041.75980368738,usd,hh_cost_postsub
Real GDP,"Q4-Q4 growth (p.p.), 2026",current,only,0.05792524477770122,pp,gdp_growth_2026
