time,series,value,lower_ci,upper_ci
2005Q1,Synthetic,0.13913,,
2005Q1,Treated,0.175213,,
2005Q2,Synthetic,0.140082,,
2005Q2,Treated,0.176178,,
2005Q3,Synthetic,0.140357,,
2005Q3,Treated,0.176678,,
2005Q4,Synthetic,0.140638,,
2005Q4,Treated,0.177395,,
2006Q1,Synthetic,0.141718,,
2006Q1,Treated,0.176331,,
2006Q2,Synthetic,0.1421,,
2006Q2,Treated,0.17588,,
2006Q3,Synthetic,0.144164,,
2006Q3,Treated,0.176952,,
2006Q4,Synthetic,0.141175,,
2006Q4,Treated,0.179939,,
2007Q1,Synthetic,0.140952,,
2007Q1,Treated,0.178315,,
2007Q2,Synthetic,0.14069,,
2007Q2,Treated,0.178076,,
2007Q3,Synthetic,0.140843,,
2007Q3,Treated,0.177695,,
2007Q4,Synthetic,0.140808,,
2007Q4,Treated,0.176921,,
2008Q1,Synthetic,0.138317,,
2008Q1,Treated,0.175862,,
2008Q2,Synthetic,0.136918,,
2008Q2,Treated,0.177458,,
2008Q3,Synthetic,0.134513,,
2008Q3,Treated,0.176442,,
2008Q4,Synthetic,0.132196,,
2008Q4,Treated,0.173994,,
2009Q1,Synthetic,0.128442,,
2009Q1,Treated,0.170549,,
2009Q2,Synthetic,0.126335,,
2009Q2,Treated,0.169489,,
2009Q3,Synthetic,0.124925,,
2009Q3,Treated,0.168178,,
2009Q4,Synthetic,0.123321,,
2009Q4,Treated,0.166602,,
2010Q1,Synthetic,0.123873,,
2010Q1,Treated,0.165745,,
2010Q2,Synthetic,0.125805,,
2010Q2,Treated,0.16631,,
2010Q3,Synthetic,0.126553,,
2010Q3,Treated,0.166362,,
2010Q4,Synthetic,0.125986,,
2010Q4,Treated,0.163476,,
2011Q1,Synthetic,0.125208,,
2011Q1,Treated,0.163535,,
2011Q2,Synthetic,0.125662,,
2011Q2,Treated,0.161867,,
2011Q3,Synthetic,0.124992,,
2011Q3,Treated,0.160737,,
2011Q4,Synthetic,0.126956,,
2011Q4,Treated,0.160869,,
2012Q1,Synthetic,0.124929,,
2012Q1,Treated,0.161701,,
2012Q2,Synthetic,0.125186,,
2012Q2,Treated,0.162252,,
2012Q3,Synthetic,0.12515,,
2012Q3,Treated,0.160798,,
2012Q4,Synthetic,0.124706,,
2012Q4,Treated,0.160291,,
2013Q1,Synthetic,0.126133,,
2013Q1,Treated,0.160866,,
2013Q2,Synthetic,0.12683,,
2013Q2,Treated,0.161592,,
2013Q3,Synthetic,0.126584,,
2013Q3,Treated,0.16113,,
2013Q4,Synthetic,0.125257,,
2013Q4,Treated,0.16086,,
2014Q1,Synthetic,0.126072,,
2014Q1,Treated,0.161748,,
2014Q2,Synthetic,0.127146,,
2014Q2,Treated,0.161787,,
2014Q3,Synthetic,0.127409,,
2014Q3,Treated,0.160895,,
2014Q4,Synthetic,0.127319,,
2014Q4,Treated,0.159815,,
2015Q1,Synthetic,0.126924,,
2015Q1,Treated,0.161603,,
2015Q2,Synthetic,0.127657,,
2015Q2,Treated,0.16196,,
2015Q3,Synthetic,0.127006,,
2015Q3,Treated,0.161278,,
2015Q4,Synthetic,0.127174,,
2015Q4,Treated,0.162021,,
2016Q1,Synthetic,0.127335,,
2016Q1,Treated,0.163114,,
2016Q2,Synthetic,0.127994,,
2016Q2,Treated,0.163979,,
2016Q3,Synthetic,0.12817,,
2016Q3,Treated,0.163409,,
2016Q4,Synthetic,0.127409,,
2016Q4,Treated,0.164149,,
2017Q1,Synthetic,0.128372,,
2017Q1,Treated,0.164016,,
2017Q2,Synthetic,0.127447,,
2017Q2,Treated,0.165164,,
2017Q3,Synthetic,0.127629,,
2017Q3,Treated,0.165297,,
2017Q4,Synthetic,0.128676,,
2017Q4,Treated,0.165271,,
2018Q1,Synthetic,0.129434,,
2018Q1,Treated,0.164115,,
2018Q2,Synthetic,0.130137,,
2018Q2,Treated,0.164638,,
2018Q3,Synthetic,0.128747,,
2018Q3,Treated,0.164961,,
2018Q4,Synthetic,0.129899,,
2018Q4,Treated,0.164195,,
2019Q1,Synthetic,0.128488,,
2019Q1,Treated,0.166283,,
2019Q2,Synthetic,0.128477,,
2019Q2,Treated,0.164746,,
2019Q3,Synthetic,0.128492,,
2019Q3,Treated,0.16613,,
2019Q4,Synthetic,0.128807,,
2019Q4,Treated,0.166101,,
2020Q1,Synthetic,,,
2020Q1,Treated,,,
2020Q2,Synthetic,,,
2020Q2,Treated,,,
2020Q3,Synthetic,,,
2020Q3,Treated,,,
2020Q4,Synthetic,,,
2020Q4,Treated,,,
2021Q1,Synthetic,0.12071,,
2021Q1,Treated,0.161932,,
2021Q2,Synthetic,0.121886,,
2021Q2,Treated,0.161982,,
2021Q3,Synthetic,0.125033,,
2021Q3,Treated,0.160821,,
2021Q4,Synthetic,0.126607,,
2021Q4,Treated,0.165705,,
2022Q1,Synthetic,0.127526,,
2022Q1,Treated,0.166468,,
2022Q2,Synthetic,0.128031,,
2022Q2,Treated,0.165463,,
2022Q3,Synthetic,0.126099,,
2022Q3,Treated,0.1675,,
2022Q4,Synthetic,0.127194,,
2022Q4,Treated,0.167353,,
2023Q1,Synthetic,0.128312,,
2023Q1,Treated,0.166971,,
2023Q2,Synthetic,0.124913,,
2023Q2,Treated,0.167055,,
2023Q3,Synthetic,0.124354,,
2023Q3,Treated,0.165747,,
2023Q4,Synthetic,0.12655,,
2023Q4,Treated,0.165012,,
2024Q1,Synthetic,0.127244,,
2024Q1,Treated,0.163838,,
2024Q2,Synthetic,0.125559,,
2024Q2,Treated,0.165458,,
2024Q3,Synthetic,0.124867,,
2024Q3,Treated,0.164113,,
2024Q4,Synthetic,0.125349,,
2024Q4,Treated,0.165696,,
2025Q1,Synthetic,0.12664,,
2025Q1,Treated,0.166429,,
2025Q2,Synthetic,0.126664,,
2025Q2,Treated,0.163534,,
2025Q3,Synthetic,0.123849,,
2025Q3,Treated,0.165559,,
2025Q4,Synthetic,0.123709,,
2025Q4,Treated,0.165017,,
2026Q1,Synthetic,0.122965,,
2026Q1,Treated,0.162583,,
2026Q2,Synthetic,0.123203,,
2026Q2,Treated,0.162347,,
2005Q1,Difference,-0.00306358,-0.0115883,0.00546112
2005Q2,Difference,-0.00305073,-0.0108603,0.00475883
2005Q3,Difference,-0.00282478,-0.0100202,0.00437064
2005Q4,Difference,-0.00238872,-0.0112115,0.00643402
2006Q1,Difference,-0.00453203,-0.0124986,0.00343453
2006Q2,Difference,-0.00536561,-0.0126635,0.00193225
2006Q3,Difference,-0.0063574,-0.0141797,0.00146492
2006Q4,Difference,-0.000381949,-0.00866345,0.00789955
2007Q1,Difference,-0.00178232,-0.00924635,0.00568171
2007Q2,Difference,-0.00176016,-0.00940778,0.00588746
2007Q3,Difference,-0.00229319,-0.00991606,0.00532968
2007Q4,Difference,-0.00303278,-0.0111685,0.00510297
2008Q1,Difference,-0.00160133,-0.00875426,0.0055516
2008Q2,Difference,0.00139436,-0.00625832,0.00904703
2008Q3,Difference,0.0027829,-0.00534564,0.0109114
2008Q4,Difference,0.00265184,-0.00423854,0.00954222
2009Q1,Difference,0.00296122,-0.0043984,0.0103208
2009Q2,Difference,0.00400802,-0.00468227,0.0126983
2009Q3,Difference,0.00410677,-0.00391809,0.0121316
2009Q4,Difference,0.0041348,-0.00334711,0.0116167
2010Q1,Difference,0.00272584,-0.00482501,0.0102767
2010Q2,Difference,0.00135954,-0.00657571,0.00929479
2010Q3,Difference,0.000663694,-0.00633794,0.00766533
2010Q4,Difference,-0.00165593,-0.00840536,0.0050935
2011Q1,Difference,-0.000818273,-0.00722514,0.00558859
2011Q2,Difference,-0.00294051,-0.00904407,0.00316305
2011Q3,Difference,-0.0034003,-0.0094444,0.0026438
2011Q4,Difference,-0.00523333,-0.011616,0.0011494
2012Q1,Difference,-0.00237362,-0.00912484,0.0043776
2012Q2,Difference,-0.00207912,-0.00852662,0.00436838
2012Q3,Difference,-0.00349744,-0.00980372,0.00280884
2012Q4,Difference,-0.00356078,-0.00958042,0.00245887
2013Q1,Difference,-0.004413,-0.0109844,0.00215842
2013Q2,Difference,-0.00438393,-0.0105016,0.00173372
2013Q3,Difference,-0.00459991,-0.0111838,0.00198396
2013Q4,Difference,-0.00354236,-0.00980603,0.0027213
2014Q1,Difference,-0.0034695,-0.00989523,0.00295624
2014Q2,Difference,-0.00450412,-0.010687,0.00167878
2014Q3,Difference,-0.0056603,-0.0110089,-0.000311737
2014Q4,Difference,-0.00664922,-0.0120794,-0.001219
2015Q1,Difference,-0.0044669,-0.0097836,0.000849811
2015Q2,Difference,-0.00484244,-0.0100341,0.000349256
2015Q3,Difference,-0.00487382,-0.00992086,0.000173232
2015Q4,Difference,-0.00429901,-0.00964658,0.00104857
2016Q1,Difference,-0.00336656,-0.00816623,0.00143311
2016Q2,Difference,-0.00316079,-0.00827586,0.00195427
2016Q3,Difference,-0.00390669,-0.00882059,0.00100722
2016Q4,Difference,-0.00240533,-0.00699014,0.00217948
2017Q1,Difference,-0.0035015,-0.00821685,0.00121385
2017Q2,Difference,-0.00142923,-0.0066964,0.00383795
2017Q3,Difference,-0.00147796,-0.00634537,0.00338946
2017Q4,Difference,-0.00255147,-0.00783165,0.00272872
2018Q1,Difference,-0.00446402,-0.0101479,0.00121986
2018Q2,Difference,-0.00464507,-0.0102778,0.000987647
2018Q3,Difference,-0.00293161,-0.00873639,0.00287317
2018Q4,Difference,-0.00484987,-0.0102932,0.000593466
2019Q1,Difference,-0.00135156,-0.00701183,0.0043087
2019Q2,Difference,-0.00287641,-0.00767543,0.00192261
2019Q3,Difference,-0.00150764,-0.00679088,0.0037756
2019Q4,Difference,-0.0018515,-0.00786407,0.00416108
2020Q1,Difference,,,
2020Q2,Difference,,,
2020Q3,Difference,,,
2020Q4,Difference,,,
2021Q1,Difference,0.00207545,-0.00194851,0.0060994
2021Q2,Difference,0.00095026,-0.00269397,0.00459449
2021Q3,Difference,-0.00335826,-0.00747959,0.000763058
2021Q4,Difference,-4.73378e-05,-0.00397219,0.00387751
2022Q1,Difference,-0.000203934,-0.00345772,0.00304986
2022Q2,Difference,-0.00171345,-0.00537313,0.00194623
2022Q3,Difference,0.002255,-0.00182995,0.00633996
2022Q4,Difference,0.00101307,-0.00425474,0.00628088
2023Q1,Difference,-0.000486783,-0.00619628,0.00522272
2023Q2,Difference,0.00299578,-0.00273518,0.00872673
2023Q3,Difference,0.00224701,-0.00338662,0.00788065
2023Q4,Difference,-0.000683082,-0.0057812,0.00441504
2024Q1,Difference,-0.00255252,-0.00738624,0.00228121
2024Q2,Difference,0.000753433,-0.00497621,0.00648308
2024Q3,Difference,9.99795e-05,-0.0058991,0.00609906
2024Q4,Difference,0.0012014,-0.0053004,0.0077032
2025Q1,Difference,0.000643556,-0.00654368,0.00783079
2025Q2,Difference,-0.00227608,-0.00937408,0.00482191
2025Q3,Difference,0.00256409,-0.00532813,0.0104563
2025Q4,Difference,0.00216169,-0.00512637,0.00944976
2026Q1,Difference,0.000473001,-0.00758032,0.00852632
2026Q2,Difference,-2.08337e-06,-0.00781544,0.00781127
