category,value,substitution,basis
1,-1.337981534938323,postsub,% of after-tax income
2,-0.8257892202002354,postsub,% of after-tax income
3,-0.7969865128221174,postsub,% of after-tax income
4,-0.7076879129460857,postsub,% of after-tax income
5,-0.7250409057143856,postsub,% of after-tax income
6,-0.714619052146475,postsub,% of after-tax income
7,-0.6809515826710424,postsub,% of after-tax income
8,-0.6563696195025396,postsub,% of after-tax income
9,-0.6020222312717965,postsub,% of after-tax income
10,-0.4234311761457838,postsub,% of after-tax income
1,-516.677986749867,postsub,2025 dollars
2,-513.1171876989875,postsub,2025 dollars
3,-604.5724579608772,postsub,2025 dollars
4,-625.6328228163842,postsub,2025 dollars
5,-751.7206564456831,postsub,2025 dollars
6,-854.1802154797042,postsub,2025 dollars
7,-956.6933927515234,postsub,2025 dollars
8,-1104.86983571647,postsub,2025 dollars
9,-1284.136247985752,postsub,2025 dollars
10,-2174.93659613002,postsub,2025 dollars
