category,value,country_code,substitution,scenario,measure
Total,-2.5734741922171285,total,presub,tracker_no_fl_301_2026-08-11,delta_vs_default
Total,-2.1650795629617257,total,postsub,tracker_no_fl_301_2026-08-11,delta_vs_default
China,-0.005188692684317431,chn,presub,tracker_no_polysilicon_2026-08-11,delta_vs_default
China,0.04921634147449794,chn,postsub,tracker_no_polysilicon_2026-08-11,delta_vs_default
Canada,-0.001214158998175563,ca,presub,tracker_no_polysilicon_2026-08-11,delta_vs_default
Canada,-2.557864344634453e-4,ca,postsub,tracker_no_polysilicon_2026-08-11,delta_vs_default
Mexico,-0.0067321678616387715,mx,presub,tracker_no_polysilicon_2026-08-11,delta_vs_default
Mexico,-0.0011590278009174781,mx,postsub,tracker_no_polysilicon_2026-08-11,delta_vs_default
UK,-0.0020994847390038984,uk,presub,tracker_no_polysilicon_2026-08-11,delta_vs_default
UK,9.090596658616334e-4,uk,postsub,tracker_no_polysilicon_2026-08-11,delta_vs_default
Japan,-0.06344836556563394,jp,presub,tracker_no_polysilicon_2026-08-11,delta_vs_default
Japan,-0.05849491009225538,jp,postsub,tracker_no_polysilicon_2026-08-11,delta_vs_default
EU,-0.007419919989519741,eu,presub,tracker_no_polysilicon_2026-08-11,delta_vs_default
EU,-0.004638857840878252,eu,postsub,tracker_no_polysilicon_2026-08-11,delta_vs_default
Rest of World,-0.30672473627103614,row,presub,tracker_no_polysilicon_2026-08-11,delta_vs_default
Rest of World,-0.4175309779233025,row,postsub,tracker_no_polysilicon_2026-08-11,delta_vs_default
Free-trade partners,-0.05450241025762814,fta,presub,tracker_no_polysilicon_2026-08-11,delta_vs_default
Free-trade partners,-0.06606529073530254,fta,postsub,tracker_no_polysilicon_2026-08-11,delta_vs_default
Total,-0.07917596456767129,total,presub,tracker_no_polysilicon_2026-08-11,delta_vs_default
Total,-0.10574522525821628,total,postsub,tracker_no_polysilicon_2026-08-11,delta_vs_default
