category,scenario,value
Food,Current,0.006
Food,Announced,0.011
Apparel,Current,0.018
Apparel,Announced,0.034
Electronics,Current,0.022
Electronics,Announced,0.041
All items,Current,0.009
All items,Announced,0.017
