category,value,country_code,substitution
China,13.538317950999406,chn,Pre-substitution
China,3.725592118880232,chn,Post-substitution
Canada,2.1993139993523805,ca,Pre-substitution
Canada,2.702321832857565,ca,Post-substitution
Mexico,2.3342677406142682,mx,Pre-substitution
Mexico,2.5940670148784264,mx,Post-substitution
Rest of World,6.508354544684941,row,Pre-substitution
Rest of World,7.09590395785719,row,Post-substitution
Total,24.580254235650997,total,Pre-substitution
Total,16.11788492447341,total,Post-substitution
