category,value,substitution,scenario,measure,basis
Total,-0.6055373361498171,postsub,tracker_no_polysilicon_2026-08-11,level,% of after-tax income
1,0.7420833540576365,presub,tracker_no_fl_301_2026-08-11,delta_vs_default,% of after-tax income
2,0.4580066452853401,presub,tracker_no_fl_301_2026-08-11,delta_vs_default,% of after-tax income
3,0.4420318286388011,presub,tracker_no_fl_301_2026-08-11,delta_vs_default,% of after-tax income
4,0.39250423593423417,presub,tracker_no_fl_301_2026-08-11,delta_vs_default,% of after-tax income
5,0.4021287088736396,presub,tracker_no_fl_301_2026-08-11,delta_vs_default,% of after-tax income
6,0.3963484467031836,presub,tracker_no_fl_301_2026-08-11,delta_vs_default,% of after-tax income
7,0.3776754919436742,presub,tracker_no_fl_301_2026-08-11,delta_vs_default,% of after-tax income
8,0.3640416224162859,presub,tracker_no_fl_301_2026-08-11,delta_vs_default,% of after-tax income
9,0.3338989851007409,presub,tracker_no_fl_301_2026-08-11,delta_vs_default,% of after-tax income
10,0.234847207679378,presub,tracker_no_fl_301_2026-08-11,delta_vs_default,% of after-tax income
Total,0.34138432975871474,presub,tracker_no_fl_301_2026-08-11,delta_vs_default,% of after-tax income
1,0.6197158597683494,postsub,tracker_no_fl_301_2026-08-11,delta_vs_default,% of after-tax income
2,0.3824826152084486,postsub,tracker_no_fl_301_2026-08-11,delta_vs_default,% of after-tax income
3,0.3691420016794962,postsub,tracker_no_fl_301_2026-08-11,delta_vs_default,% of after-tax income
4,0.32778137213924197,postsub,tracker_no_fl_301_2026-08-11,delta_vs_default,% of after-tax income
5,0.3358187960887858,postsub,tracker_no_fl_301_2026-08-11,delta_vs_default,% of after-tax income
6,0.3309916831761138,postsub,tracker_no_fl_301_2026-08-11,delta_vs_default,% of after-tax income
7,0.3153978470525427,postsub,tracker_no_fl_301_2026-08-11,delta_vs_default,% of after-tax income
8,0.3040121649321502,postsub,tracker_no_fl_301_2026-08-11,delta_vs_default,% of after-tax income
9,0.27883996520883203,postsub,tracker_no_fl_301_2026-08-11,delta_vs_default,% of after-tax income
10,0.19612155214832916,postsub,tracker_no_fl_301_2026-08-11,delta_vs_default,% of after-tax income
Total,0.285090997218935,postsub,tracker_no_fl_301_2026-08-11,delta_vs_default,% of after-tax income
1,0.009381444417761564,presub,tracker_no_polysilicon_2026-08-11,delta_vs_default,% of after-tax income
2,0.005790136461376827,presub,tracker_no_polysilicon_2026-08-11,delta_vs_default,% of after-tax income
3,0.00558818225551283,presub,tracker_no_polysilicon_2026-08-11,delta_vs_default,% of after-tax income
4,0.004962052649502002,presub,tracker_no_polysilicon_2026-08-11,delta_vs_default,% of after-tax income
5,0.005083725582114673,presub,tracker_no_polysilicon_2026-08-11,delta_vs_default,% of after-tax income
6,0.005010651300127789,presub,tracker_no_polysilicon_2026-08-11,delta_vs_default,% of after-tax income
7,0.004774587135322417,presub,tracker_no_polysilicon_2026-08-11,delta_vs_default,% of after-tax income
8,0.004602227267025971,presub,tracker_no_polysilicon_2026-08-11,delta_vs_default,% of after-tax income
9,0.004221162963354175,presub,tracker_no_polysilicon_2026-08-11,delta_vs_default,% of after-tax income
10,0.0029689468352357418,presub,tracker_no_polysilicon_2026-08-11,delta_vs_default,% of after-tax income
Total,0.004315792959394993,presub,tracker_no_polysilicon_2026-08-11,delta_vs_default,% of after-tax income
1,0.007476473563838626,postsub,tracker_no_polysilicon_2026-08-11,delta_vs_default,% of after-tax income
2,0.0046144069353055706,postsub,tracker_no_polysilicon_2026-08-11,delta_vs_default,% of after-tax income
3,0.0044534610069376646,postsub,tracker_no_polysilicon_2026-08-11,delta_vs_default,% of after-tax income
4,0.003954471593536346,postsub,tracker_no_polysilicon_2026-08-11,delta_vs_default,% of after-tax income
5,0.004051437947927394,postsub,tracker_no_polysilicon_2026-08-11,delta_vs_default,% of after-tax income
6,0.0039932019329661506,postsub,tracker_no_polysilicon_2026-08-11,delta_vs_default,% of after-tax income
7,0.0038050723221145777,postsub,tracker_no_polysilicon_2026-08-11,delta_vs_default,% of after-tax income
8,0.003667711384779282,postsub,tracker_no_polysilicon_2026-08-11,delta_vs_default,% of after-tax income
9,0.003364024973001145,postsub,tracker_no_polysilicon_2026-08-11,delta_vs_default,% of after-tax income
10,0.002366080481600197,postsub,tracker_no_polysilicon_2026-08-11,delta_vs_default,% of after-tax income
Total,0.0034394396567364316,postsub,tracker_no_polysilicon_2026-08-11,delta_vs_default,% of after-tax income
1,-583.8978104699802,presub,tracker_actual_2026-08-11,level,2025 dollars
2,-583.7915242150472,presub,tracker_actual_2026-08-11,level,2025 dollars
3,-685.6933757825889,presub,tracker_actual_2026-08-11,level,2025 dollars
4,-715.579502407206,presub,tracker_actual_2026-08-11,level,2025 dollars
5,-865.7052630015462,presub,tracker_actual_2026-08-11,level,2025 dollars
6,-984.7596738824805,presub,tracker_actual_2026-08-11,level,2025 dollars
7,-1101.7634560983663,presub,tracker_actual_2026-08-11,level,2025 dollars
8,-1271.807054768261,presub,tracker_actual_2026-08-11,level,2025 dollars
9,-1476.246192609834,presub,tracker_actual_2026-08-11,level,2025 dollars
10,-2496.5010340789395,presub,tracker_actual_2026-08-11,level,2025 dollars
Total,-1076.574488731425,presub,tracker_actual_2026-08-11,level,2025 dollars
1,-490.5993536204167,postsub,tracker_actual_2026-08-11,level,2025 dollars
2,-490.5100503775652,postsub,tracker_actual_2026-08-11,level,2025 dollars
3,-576.1294543474486,postsub,tracker_actual_2026-08-11,level,2025 dollars
4,-601.2402085605077,postsub,tracker_actual_2026-08-11,level,2025 dollars
5,-727.3780357431004,postsub,tracker_actual_2026-08-11,level,2025 dollars
6,-827.409267195798,postsub,tracker_actual_2026-08-11,level,2025 dollars
7,-925.7175308970352,postsub,tracker_actual_2026-08-11,level,2025 dollars
8,-1068.5906126227435,postsub,tracker_actual_2026-08-11,level,2025 dollars
9,-1240.3633219587505,postsub,tracker_actual_2026-08-11,level,2025 dollars
10,-2097.5961404034056,postsub,tracker_actual_2026-08-11,level,2025 dollars
Total,-904.5533975726771,postsub,tracker_actual_2026-08-11,level,2025 dollars
1,-308.8742986226795,presub,tracker_no_fl_301_2026-08-11,level,2025 dollars
2,-308.8180745850875,presub,tracker_no_fl_301_2026-08-11,level,2025 dollars
3,-362.72282018764895,presub,tracker_no_fl_301_2026-08-11,level,2025 dollars
4,-378.5321899681197,presub,tracker_no_fl_301_2026-08-11,level,2025 dollars
5,-457.94675220367566,presub,tracker_no_fl_301_2026-08-11,level,2025 dollars
6,-520.9249771591458,presub,tracker_no_fl_301_2026-08-11,level,2025 dollars
7,-582.818446393161,presub,tracker_no_fl_301_2026-08-11,level,2025 dollars
8,-672.7692842498143,presub,tracker_no_fl_301_2026-08-11,level,2025 dollars
9,-780.9149120969453,presub,tracker_no_fl_301_2026-08-11,level,2025 dollars
10,-1320.61636828414,presub,tracker_no_fl_301_2026-08-11,level,2025 dollars
Total,-569.4938123750418,presub,tracker_no_fl_301_2026-08-11,level,2025 dollars
1,-260.92645883166875,postsub,tracker_no_fl_301_2026-08-11,level,2025 dollars
2,-260.87896268486895,postsub,tracker_no_fl_301_2026-08-11,level,2025 dollars
3,-306.4158508203247,postsub,tracker_no_fl_301_2026-08-11,level,2025 dollars
4,-319.77106649081924,postsub,tracker_no_fl_301_2026-08-11,level,2025 dollars
5,-386.8577765090717,postsub,tracker_no_fl_301_2026-08-11,level,2025 dollars
6,-440.0596301252872,postsub,tracker_no_fl_301_2026-08-11,level,2025 dollars
7,-492.3451191544888,postsub,tracker_no_fl_301_2026-08-11,level,2025 dollars
8,-568.3325149835919,postsub,tracker_no_fl_301_2026-08-11,level,2025 dollars
9,-659.6902480099662,postsub,tracker_no_fl_301_2026-08-11,level,2025 dollars
10,-1115.6116063656784,postsub,tracker_no_fl_301_2026-08-11,level,2025 dollars
Total,-481.0889233975766,postsub,tracker_no_fl_301_2026-08-11,level,2025 dollars
1,-580.4209533543135,presub,tracker_no_polysilicon_2026-08-11,level,2025 dollars
2,-580.3152999877303,presub,tracker_no_polysilicon_2026-08-11,level,2025 dollars
3,-681.6103704175985,presub,tracker_no_polysilicon_2026-08-11,level,2025 dollars
4,-711.3185381765521,presub,tracker_no_polysilicon_2026-08-11,level,2025 dollars
5,-860.550365261282,presub,tracker_no_polysilicon_2026-08-11,level,2025 dollars
6,-978.8958589854798,presub,tracker_no_polysilicon_2026-08-11,level,2025 dollars
7,-1095.202934645077,presub,tracker_no_polysilicon_2026-08-11,level,2025 dollars
8,-1264.2339977558245,presub,tracker_no_polysilicon_2026-08-11,level,2025 dollars
9,-1467.4557895851674,presub,tracker_no_polysilicon_2026-08-11,level,2025 dollars
