category,item,column,value
Panel A. Broad Tariffs under Section 122 Authority,Rate,description,10% flat rate
Panel A. Broad Tariffs under Section 122 Authority,Exemptions,description,"Certain critical minerals, energy products, agricultural goods, pharmaceuticals, electronics, etc."
Panel B. Product-Specific Tariffs under Section 232 Authority,Steel,description,50%
Panel B. Product-Specific Tariffs under Section 232 Authority,Aluminum,description,50%
Panel B. Product-Specific Tariffs under Section 232 Authority,Copper,description,50%
Panel B. Product-Specific Tariffs under Section 232 Authority,Automobiles,description,25%
Panel B. Product-Specific Tariffs under Section 232 Authority,Auto parts,description,25%
Panel B. Product-Specific Tariffs under Section 232 Authority,Medium/heavy trucks & buses,description,"25% on trucks/parts; 10% buses"
Panel B. Product-Specific Tariffs under Section 232 Authority,Lumber/wood products,description,10-25%
