category,series,value
2026,conventional,73.55323193919912
2026,dynamic,59.02523193919912
2027,conventional,84.84369507902963
2027,dynamic,85.26269507902963
2028,conventional,128.83527688368412
2028,dynamic,132.00427688368413
2029,conventional,130.5158802974684
2029,dynamic,127.50288029746838
2030,conventional,132.27058585800327
2030,dynamic,126.44858585800328
2031,conventional,134.6554938291694
2031,dynamic,127.8874938291694
2032,conventional,140.00204271011523
2032,dynamic,132.66804271011523
2033,conventional,145.43855740427966
2033,dynamic,137.60955740427966
2034,conventional,151.00150910216826
2034,dynamic,142.66750910216825
2035,conventional,156.49212450056842
2035,dynamic,147.6201245005684
Total,conventional,1277.6083976036855
Total,dynamic,1218.6963976036855
