category,series,value,scenario,measure
2026,conventional,87.84083973453306,tracker_actual_2026-07-23,level
2026,dynamic,74.02683973453307,tracker_actual_2026-07-23,level
2027,conventional,145.525718537705,tracker_actual_2026-07-23,level
2027,dynamic,138.060718537705,tracker_actual_2026-07-23,level
2028,conventional,191.3169145205105,tracker_actual_2026-07-23,level
2028,dynamic,184.4879145205105,tracker_actual_2026-07-23,level
2029,conventional,194.5662617921644,tracker_actual_2026-07-23,level
2029,dynamic,183.9562617921644,tracker_actual_2026-07-23,level
2030,conventional,197.9761224493535,tracker_actual_2026-07-23,level
2030,dynamic,185.5541224493535,tracker_actual_2026-07-23,level
2031,conventional,202.3869530536781,tracker_actual_2026-07-23,level
2031,dynamic,189.0409530536781,tracker_actual_2026-07-23,level
2032,conventional,210.4220365520019,tracker_actual_2026-07-23,level
2032,dynamic,196.15503655200192,tracker_actual_2026-07-23,level
2033,conventional,218.592745122774,tracker_actual_2026-07-23,level
2033,dynamic,203.386745122774,tracker_actual_2026-07-23,level
2034,conventional,226.95301535841412,tracker_actual_2026-07-23,level
2034,dynamic,210.7850153584141,tracker_actual_2026-07-23,level
2035,conventional,235.2050206135154,tracker_actual_2026-07-23,level
2035,dynamic,218.0090206135154,tracker_actual_2026-07-23,level
Total,conventional,1910.78562773465,tracker_actual_2026-07-23,level
Total,dynamic,1783.46262773465,tracker_actual_2026-07-23,level
2026,conventional,73.55316649669078,tracker_no_fl_301_2026-07-23,level
2026,dynamic,61.23516649669078,tracker_no_fl_301_2026-07-23,level
2027,conventional,84.84369507902963,tracker_no_fl_301_2026-07-23,level
2027,dynamic,81.70869507902962,tracker_no_fl_301_2026-07-23,level
2028,conventional,128.83527688368412,tracker_no_fl_301_2026-07-23,level
2028,dynamic,126.67227688368412,tracker_no_fl_301_2026-07-23,level
2029,conventional,130.5158802974684,tracker_no_fl_301_2026-07-23,level
2029,dynamic,125.06588029746838,tracker_no_fl_301_2026-07-23,level
2030,conventional,132.27058585800327,tracker_no_fl_301_2026-07-23,level
2030,dynamic,125.60858585800328,tracker_no_fl_301_2026-07-23,level
2031,conventional,134.6554938291694,tracker_no_fl_301_2026-07-23,level
2031,dynamic,127.5094938291694,tracker_no_fl_301_2026-07-23,level
2032,conventional,140.00204271011523,tracker_no_fl_301_2026-07-23,level
2032,dynamic,132.37204271011524,tracker_no_fl_301_2026-07-23,level
2033,conventional,145.43855740427966,tracker_no_fl_301_2026-07-23,level
2033,dynamic,137.31555740427967,tracker_no_fl_301_2026-07-23,level
2034,conventional,151.00150910216826,tracker_no_fl_301_2026-07-23,level
2034,dynamic,142.37350910216827,tracker_no_fl_301_2026-07-23,level
2035,conventional,156.49212450056842,tracker_no_fl_301_2026-07-23,level
2035,dynamic,147.32412450056842,tracker_no_fl_301_2026-07-23,level
Total,conventional,1277.6083321611773,tracker_no_fl_301_2026-07-23,level
Total,dynamic,1207.1853321611773,tracker_no_fl_301_2026-07-23,level
2026,conventional,89.49477433577275,tracker_no_fl_301_keep_s122_2026-07-23,level
2026,dynamic,75.71777433577275,tracker_no_fl_301_keep_s122_2026-07-23,level
2027,conventional,152.09858135792425,tracker_no_fl_301_keep_s122_2026-07-23,level
2027,dynamic,144.62558135792423,tracker_no_fl_301_keep_s122_2026-07-23,level
2028,conventional,198.19940345298343,tracker_no_fl_301_keep_s122_2026-07-23,level
2028,dynamic,191.60740345298345,tracker_no_fl_301_keep_s122_2026-07-23,level
2029,conventional,201.74054110755748,tracker_no_fl_301_keep_s122_2026-07-23,level
2029,dynamic,191.59254110755748,tracker_no_fl_301_keep_s122_2026-07-23,level
2030,conventional,205.46000167433337,tracker_no_fl_301_keep_s122_2026-07-23,level
2030,dynamic,193.58100167433335,tracker_no_fl_301_keep_s122_2026-07-23,level
2031,conventional,210.2311217451904,tracker_no_fl_301_keep_s122_2026-07-23,level
2031,dynamic,197.47012174519045,tracker_no_fl_301_keep_s122_2026-07-23,level
2032,conventional,218.5779707862471,tracker_no_fl_301_keep_s122_2026-07-23,level
2032,dynamic,204.93897078624713,tracker_no_fl_301_keep_s122_2026-07-23,level
2033,conventional,227.06552201797663,tracker_no_fl_301_keep_s122_2026-07-23,level
