category,value,dimension,category_code,group
Agriculture,-0.9192324006630557,sector,agriculture,Sectors
Mining & Extraction,-1.2616267368432252,sector,mining_and_extraction,Sectors
Total Manufacturing,2.344828098793336,sector,total_manufacturing,Sectors
Durable Manufacturing,3.2742531913824897,sector,durable_manufacturing,Manufacturing detail
Advanced Manufacturing,-1.4,sector,advanced_manufacturing,Manufacturing detail
Nondurable Manufacturing,2.303383166159105,sector,nondurable_manufacturing,Manufacturing detail
Utilities,0.2364524872675015,sector,utilities,Sectors
Construction,-3.68,sector,construction,Sectors
Services,-0.14203205702693067,sector,services,Sectors
Overall Real GDP,-0.53,sector,overall_real_gdp,Sectors
USA,-0.53,country,usa,Trading partners
China,-0.28,country,china,Trading partners
ROW,0.06,country,row,Trading partners
Canada,-2.16,country,canada,Trading partners
Mexico,-0.02,country,mexico,Trading partners
FTROW,0.08,country,ftrow,Trading partners
Japan,0.04,country,japan,Trading partners
EU,0.01,country,eu,Trading partners
UK,0.36,country,uk,Trading partners
World Total,-0.1783282220964688,country,world_total,Trading partners
World ex USA,-0.0674973019948566,country,world_ex_usa,Trading partners
