time,series,value
1,'15-'26,29.2395
2,'15-'26,28.2503
3,'15-'26,28.0763
4,'15-'26,28.1304
5,'15-'26,29.1966
6,'15-'26,30.2913
7,'15-'26,29.6151
8,'15-'26,29.4674
9,'15-'26,29.4421
10,'15-'26,29.0028
11,'15-'26,28.2829
12,'15-'26,27.825
13,'15-'26,27.2164
14,'15-'26,27.0043
15,'15-'26,27.4201
16,'15-'26,28.4699
17,'15-'26,29.1391
18,'15-'26,29.7222
19,'15-'26,30.2887
20,'15-'26,29.6769
21,'15-'26,29.0469
22,'15-'26,27.6328
23,'15-'26,27.1265
24,'15-'26,27.1279
25,'15-'26,28.1813
26,'15-'26,28.6795
27,'15-'26,28.7672
28,'15-'26,29.8154
29,'15-'26,29.1868
30,'15-'26,28.292
31,'15-'26,27.3429
32,'15-'26,27.4285
33,'15-'26,27.3381
34,'15-'26,27.7797
35,'15-'26,27.8631
36,'15-'26,28.2794
37,'15-'26,28.3271
38,'15-'26,28.3404
39,'15-'26,28.9141
40,'15-'26,29.3145
41,'15-'26,29.7234
42,'15-'26,29.548
43,'15-'26,28.8499
44,'15-'26,27.9747
45,'15-'26,27.2813
46,'15-'26,27.6358
47,'15-'26,27.785
48,'15-'26,28.9108
49,'15-'26,28.471
50,'15-'26,29.0748
51,'15-'26,29.3011
52,'15-'26,29.9916
53,'15-'26,30.0429
54,'15-'26,30.2953
55,'15-'26,29.7595
56,'15-'26,29.4312
57,'15-'26,29.4391
58,'15-'26,30.2685
59,'15-'26,30.7969
60,'15-'26,30.6123
61,'15-'26,29.031
62,'15-'26,28.347
63,'15-'26,28.8101
64,'15-'26,28.8033
65,'15-'26,29.5948
66,'15-'26,30.4296
67,'15-'26,30.9867
68,'15-'26,31.0847
69,'15-'26,30.2421
70,'15-'26,30.5363
71,'15-'26,30.5192
72,'15-'26,30.341
73,'15-'26,30.483
74,'15-'26,30.7502
75,'15-'26,30.7227
76,'15-'26,30.1709
77,'15-'26,29.9962
78,'15-'26,31.3222
79,'15-'26,31.7076
80,'15-'26,30.7818
81,'15-'26,29.9066
82,'15-'26,28.8429
83,'15-'26,28.6821
84,'15-'26,28.2874
85,'15-'26,29.2254
86,'15-'26,28.4881
87,'15-'26,28.8395
88,'15-'26,29.2182
89,'15-'26,29.6622
90,'15-'26,30.4592
91,'15-'26,29.9124
92,'15-'26,30.8085
93,'15-'26,30.4214
94,'15-'26,29.3255
95,'15-'26,28.9365
96,'15-'26,28.7893
97,'15-'26,28.2365
98,'15-'26,28.1731
99,'15-'26,28.8735
100,'15-'26,29.9266
101,'15-'26,30.0233
102,'15-'26,30.8185
103,'15-'26,31.0246
104,'15-'26,32.2668
105,'15-'26,32.4772
106,'15-'26,33.1328
107,'15-'26,33.2111
108,'15-'26,32.8042
109,'15-'26,31.6446
110,'15-'26,30.3482
111,'15-'26,28.8252
112,'15-'26,28.731
113,'15-'26,28.9764
114,'15-'26,30.9555
115,'15-'26,31.8989
116,'15-'26,32.1902
117,'15-'26,31.8789
118,'15-'26,30.9253
119,'15-'26,29.3457
120,'15-'26,28.8846
121,'15-'26,29.668
122,'15-'26,30.7495
123,'15-'26,31.9303
124,'15-'26,31.8889
125,'15-'26,31.2726
126,'15-'26,31.0929
127,'15-'26,31.3479
128,'15-'26,30.8077
129,'15-'26,30.2585
130,'15-'26,
131,'15-'26,31.0409
132,'15-'26,31.3375
133,'15-'26,30.1304
134,'15-'26,32.1558
135,'15-'26,33.369
136,'15-'26,33.4683
137,'15-'26,33.8746
1,'22-'26,29.2254
2,'22-'26,28.4881
3,'22-'26,28.8395
4,'22-'26,29.2182
5,'22-'26,29.6622
6,'22-'26,30.4592
7,'22-'26,29.9124
8,'22-'26,30.8085
9,'22-'26,30.4214
10,'22-'26,29.3255
11,'22-'26,28.9365
12,'22-'26,28.7893
13,'22-'26,28.2365
14,'22-'26,28.1731
15,'22-'26,28.8735
16,'22-'26,29.9266
17,'22-'26,30.0233
18,'22-'26,30.8185
19,'22-'26,31.0246
20,'22-'26,32.2668
21,'22-'26,32.4772
22,'22-'26,33.1328
23,'22-'26,33.2111
24,'22-'26,32.8042
25,'22-'26,31.6446
26,'22-'26,30.3482
27,'22-'26,28.8252
28,'22-'26,28.731
29,'22-'26,28.9764
30,'22-'26,30.9555
31,'22-'26,31.8989
32,'22-'26,32.1902
33,'22-'26,31.8789
34,'22-'26,30.9253
35,'22-'26,29.3457
36,'22-'26,28.8846
37,'22-'26,29.668
38,'22-'26,30.7495
39,'22-'26,31.9303
40,'22-'26,31.8889
41,'22-'26,31.2726
42,'22-'26,31.0929
43,'22-'26,31.3479
44,'22-'26,30.8077
45,'22-'26,30.2585
46,'22-'26,
47,'22-'26,31.0409
48,'22-'26,31.3375
49,'22-'26,30.1304
50,'22-'26,32.1558
51,'22-'26,33.369
52,'22-'26,33.4683
53,'22-'26,33.8746
