category,series,value
2025,conventional,111
2026,conventional,237.60561019794872
2027,conventional,229.70368372305643
2028,conventional,238.36734751760162
2029,conventional,246.28262058248623
2030,conventional,254.67714501220115
2031,conventional,264.625621304687
2032,conventional,275.160261923383
2033,conventional,285.8571289455293
2034,conventional,296.81942140974576
2035,conventional,307.6232013932721
2025,dynamic,102.682
2026,dynamic,193.48161019794873
2027,dynamic,171.93068372305643
2028,dynamic,187.16234751760163
2029,dynamic,203.90162058248623
2030,dynamic,216.96814501220115
2031,dynamic,227.59862130468701
2032,dynamic,236.34626192338303
2033,dynamic,244.68812894552934
2034,dynamic,253.23642140974576
2035,dynamic,261.4122013932721
2025,difference,-8.318
2026,difference,-44.124
2027,difference,-57.773
2028,difference,-51.205
2029,difference,-42.381
2030,difference,-37.709
2031,difference,-37.027
2032,difference,-38.814
2033,difference,-41.169
2034,difference,-43.583
2035,difference,-46.211
2026-35,conventional,2636.7220420099115
2026-35,dynamic,2196.7260420099115
2026-35,difference,-439.996
2025-34,conventional,2440.0988406166393
2025-34,dynamic,2037.9958406166393
2025-34,difference,-402.10300000000007
