time,series,variant,value
30,Professional and Business Services,indexed,6.45967
31,Professional and Business Services,indexed,6.628137
32,Professional and Business Services,indexed,6.764448
33,Professional and Business Services,indexed,6.836697
34,Professional and Business Services,indexed,6.880491
35,Professional and Business Services,indexed,
36,Professional and Business Services,indexed,7.212898
37,Professional and Business Services,indexed,7.331497
38,Professional and Business Services,indexed,7.343861
39,Professional and Business Services,indexed,7.477214
40,Professional and Business Services,indexed,7.593037
41,Professional and Business Services,indexed,7.765236
42,Professional and Business Services,indexed,8.053513
43,Professional and Business Services,indexed,8.259744
44,Professional and Business Services,indexed,8.385325
2022-11-02,All Sectors,rolling,2.833375
2022-12-02,All Sectors,rolling,2.90909
2023-01-02,All Sectors,rolling,3.075741
2023-02-02,All Sectors,rolling,3.142298
2023-03-02,All Sectors,rolling,3.183913
2023-04-02,All Sectors,rolling,3.144533
2023-05-02,All Sectors,rolling,3.193057
2023-06-02,All Sectors,rolling,3.172713
2023-07-02,All Sectors,rolling,3.139561
2023-08-02,All Sectors,rolling,3.027063
2023-09-02,All Sectors,rolling,3.015766
2023-10-02,All Sectors,rolling,3.006845
2023-11-02,All Sectors,rolling,3.050123
2023-12-02,All Sectors,rolling,3.02957
2024-01-02,All Sectors,rolling,2.991475
2024-02-02,All Sectors,rolling,2.957101
2024-03-02,All Sectors,rolling,2.864364
2024-04-02,All Sectors,rolling,2.778757
2024-05-02,All Sectors,rolling,2.727614
2024-06-02,All Sectors,rolling,2.736881
2024-07-02,All Sectors,rolling,2.785487
2024-08-02,All Sectors,rolling,2.785049
2024-09-02,All Sectors,rolling,2.845465
2024-10-02,All Sectors,rolling,2.911038
2024-11-02,All Sectors,rolling,2.99304
2024-12-02,All Sectors,rolling,3.059228
2025-01-02,All Sectors,rolling,3.095169
2025-02-02,All Sectors,rolling,3.118096
2025-03-02,All Sectors,rolling,3.190004
2025-04-02,All Sectors,rolling,3.146859
2025-05-02,All Sectors,rolling,3.094992
2025-06-02,All Sectors,rolling,3.133913
2025-07-02,All Sectors,rolling,3.188346
2025-08-02,All Sectors,rolling,3.292224
2025-09-02,All Sectors,rolling,3.31397
2025-10-02,All Sectors,rolling,
2025-11-02,All Sectors,rolling,3.409742
2025-12-02,All Sectors,rolling,3.46678
2026-01-02,All Sectors,rolling,3.42465
2026-02-02,All Sectors,rolling,3.32171
2026-03-02,All Sectors,rolling,3.417222
2026-04-02,All Sectors,rolling,3.452172
2026-05-02,All Sectors,rolling,3.468088
2026-06-02,All Sectors,rolling,3.50035
2026-07-02,All Sectors,rolling,3.415841
2022-11-02,Information,rolling,9.768929
2022-12-02,Information,rolling,10.084666
2023-01-02,Information,rolling,10.01992
2023-02-02,Information,rolling,10.189046
2023-03-02,Information,rolling,10.13045
2023-04-02,Information,rolling,10.861833
2023-05-02,Information,rolling,11.736748
2023-06-02,Information,rolling,11.733972
2023-07-02,Information,rolling,11.89711
2023-08-02,Information,rolling,11.39114
2023-09-02,Information,rolling,11.39983
2023-10-02,Information,rolling,11.894014
2023-11-02,Information,rolling,12.463356
2023-12-02,Information,rolling,13.042149
2024-01-02,Information,rolling,13.147823
2024-02-02,Information,rolling,12.669883
2024-03-02,Information,rolling,12.039912
2024-04-02,Information,rolling,11.119555
2024-05-02,Information,rolling,10.952037
2024-06-02,Information,rolling,10.986993
2024-07-02,Information,rolling,11.29695
2024-08-02,Information,rolling,10.702815
2024-09-02,Information,rolling,10.539817
2024-10-02,Information,rolling,10.951319
2024-11-02,Information,rolling,10.935098
2024-12-02,Information,rolling,11.733164
2025-01-02,Information,rolling,11.569106
2025-02-02,Information,rolling,11.673417
2025-03-02,Information,rolling,11.926823
2025-04-02,Information,rolling,11.88875
2025-05-02,Information,rolling,11.846562
2025-06-02,Information,rolling,12.079698
2025-07-02,Information,rolling,12.261555
2025-08-02,Information,rolling,12.263466
2025-09-02,Information,rolling,12.491506
2025-10-02,Information,rolling,
2025-11-02,Information,rolling,12.306185
2025-12-02,Information,rolling,12.247286
2026-01-02,Information,rolling,12.028315
2026-02-02,Information,rolling,12.20711
2026-03-02,Information,rolling,12.159182
2026-04-02,Information,rolling,12.468939
2026-05-02,Information,rolling,12.548876
2026-06-02,Information,rolling,12.819543
2026-07-02,Information,rolling,12.892498
2022-11-02,Financial Activities,rolling,5.864302
2022-12-02,Financial Activities,rolling,6.017756
2023-01-02,Financial Activities,rolling,5.934308
2023-02-02,Financial Activities,rolling,5.929516
2023-03-02,Financial Activities,rolling,5.87971
2023-04-02,Financial Activities,rolling,5.725794
2023-05-02,Financial Activities,rolling,5.555671
2023-06-02,Financial Activities,rolling,5.656101
2023-07-02,Financial Activities,rolling,6.015821
2023-08-02,Financial Activities,rolling,6.137603
2023-09-02,Financial Activities,rolling,6.565859
2023-10-02,Financial Activities,rolling,6.847783
2023-11-02,Financial Activities,rolling,6.838519
2023-12-02,Financial Activities,rolling,6.713902
2024-01-02,Financial Activities,rolling,6.428879
2024-02-02,Financial Activities,rolling,6.466917
2024-03-02,Financial Activities,rolling,6.503658
2024-04-02,Financial Activities,rolling,6.354906
2024-05-02,Financial Activities,rolling,6.054173
2024-06-02,Financial Activities,rolling,5.963569
2024-07-02,Financial Activities,rolling,5.807246
2024-08-02,Financial Activities,rolling,5.497547
2024-09-02,Financial Activities,rolling,5.637454
2024-10-02,Financial Activities,rolling,5.914091
2024-11-02,Financial Activities,rolling,5.948889
2024-12-02,Financial Activities,rolling,6.058671
2025-01-02,Financial Activities,rolling,6.629813
2025-02-02,Financial Activities,rolling,7.029505
2025-03-02,Financial Activities,rolling,7.35874
2025-04-02,Financial Activities,rolling,7.238172
2025-05-02,Financial Activities,rolling,6.914622
2025-06-02,Financial Activities,rolling,6.685481
2025-07-02,Financial Activities,rolling,6.366822
2025-08-02,Financial Activities,rolling,6.131005
2025-09-02,Financial Activities,rolling,5.679884
2025-10-02,Financial Activities,rolling,
2025-11-02,Financial Activities,rolling,5.673282
2025-12-02,Financial Activities,rolling,5.873686
2026-01-02,Financial Activities,rolling,6.122114
2026-02-02,Financial Activities,rolling,6.030228
2026-03-02,Financial Activities,rolling,6.439586
2026-04-02,Financial Activities,rolling,6.742921
2026-05-02,Financial Activities,rolling,6.757702
2026-06-02,Financial Activities,rolling,6.657549
2026-07-02,Financial Activities,rolling,6.475058
2022-11-02,Professional and Business Services,rolling,5.801342
2022-12-02,Professional and Business Services,rolling,5.792355
2023-01-02,Professional and Business Services,rolling,6.050361
2023-02-02,Professional and Business Services,rolling,6.100289
2023-03-02,Professional and Business Services,rolling,6.187171
2023-04-02,Professional and Business Services,rolling,6.241164
2023-05-02,Professional and Business Services,rolling,6.111354
2023-06-02,Professional and Business Services,rolling,5.923992
2023-07-02,Professional and Business Services,rolling,5.732779
2023-08-02,Professional and Business Services,rolling,5.489451
2023-09-02,Professional and Business Services,rolling,5.585083
2023-10-02,Professional and Business Services,rolling,5.513899
2023-11-02,Professional and Business Services,rolling,5.565276
2023-12-02,Professional and Business Services,rolling,5.581373
2024-01-02,Professional and Business Services,rolling,5.378074
2024-02-02,Professional and Business Services,rolling,5.492876
2024-03-02,Professional and Business Services,rolling,5.416673
2024-04-02,Professional and Business Services,rolling,5.413354
2024-05-02,Professional and Business Services,rolling,5.560679
2024-06-02,Professional and Business Services,rolling,5.63882
2024-07-02,Professional and Business Services,rolling,5.59373
2024-08-02,Professional and Business Services,rolling,5.594556
2024-09-02,Professional and Business Services,rolling,5.778392
2024-10-02,Professional and Business Services,rolling,5.837178
2024-11-02,Professional and Business Services,rolling,6.132555
2024-12-02,Professional and Business Services,rolling,6.176028
2025-01-02,Professional and Business Services,rolling,6.143486
2025-02-02,Professional and Business Services,rolling,5.937658
2025-03-02,Professional and Business Services,rolling,5.851239
2025-04-02,Professional and Business Services,rolling,5.66242
2025-05-02,Professional and Business Services,rolling,5.465898
2025-06-02,Professional and Business Services,rolling,5.402344
