category,series,value
2026,conventional,66.29578315123746
2027,conventional,123.4179299599934
2028,conventional,171.1304813202649
2029,conventional,176.807401456793
2030,conventional,182.8213894943928
2031,conventional,189.9594322667021
2032,conventional,197.511061686332
2033,conventional,205.1847356823847
2034,conventional,213.0424400870108
2035,conventional,220.7926328293125
2026,dynamic,52.40778315123746
2027,dynamic,113.6419299599934
2028,dynamic,162.6924813202649
2029,dynamic,164.816401456793
2030,dynamic,168.8333894943928
2031,dynamic,174.9234322667021
2032,dynamic,181.436061686332
2033,dynamic,188.0487356823847
2034,dynamic,194.8204400870108
2035,dynamic,201.4106328293125
2026,difference,-13.888
2027,difference,-9.776
2028,difference,-8.438
2029,difference,-11.991
2030,difference,-13.988
2031,difference,-15.036
2032,difference,-16.075
2033,difference,-17.136
2034,difference,-18.222
2035,difference,-19.382
2026-35,conventional,1746.963287934424
2026-35,dynamic,1603.031287934424
2026-35,difference,-143.932
