category,series,value
2025,conventional,164.38519881254365
2026,conventional,267.30578694057436
2027,conventional,255.2179379430117
2028,conventional,264.8501764243321
2029,conventional,273.6495118530111
2030,conventional,282.9871048080109
2031,conventional,294.04435724423695
2032,conventional,305.7588533571611
2033,conventional,317.6490088460288
2034,conventional,329.8394495604625
2035,conventional,341.84859119970736
2025,dynamic,153.19719881254366
2026,dynamic,219.54478694057437
2027,dynamic,203.9929379430117
2028,dynamic,222.71917642433212
2029,dynamic,234.6885118530111
2030,dynamic,242.39810480801088
2031,dynamic,250.73035724423696
2032,dynamic,259.5788533571611
2033,dynamic,268.53200884602876
2034,dynamic,277.6914495604625
2035,dynamic,286.48159119970734
2025,difference,-11.188
2026,difference,-47.761
2027,difference,-51.225
2028,difference,-42.131
2029,difference,-38.961
2030,difference,-40.589
2031,difference,-43.314
2032,difference,-46.18
2033,difference,-49.117
2034,difference,-52.148
2035,difference,-55.367
2026-35,conventional,2933.1507781765367
2025-34,conventional,2755.687385789373
2026-35,dynamic,2466.357778176537
2025-34,dynamic,2333.073385789373
2026-35,difference,-466.7930000000001
2025-34,difference,-422.6140000000001
