category,series,value,unit,metric
Tariff rate,"Effective rate, pre-substitution",24.580254235650997,pct,etr_presub_level
Tariff rate,"Effective rate, post-substitution",16.11788492447341,pct,etr_postsub_level
Consumer price increase,Pre-substitution,2.853773299192298,pct,price_presub
Household cost,Pre-substitution (2024$),-4689.3636358803005,usd,hh_cost_presub
Real GDP,"Q4-Q4 growth (p.p.), 2025",-1.0522395137821938,pp,gdp_growth_2025
Real GDP,Long-run,-0.57,pct,gdp_longrun
Labor market,"Unemployment rate (p.p.), end of 2025",0.5502419471740723,pp,unemployment_2025
Labor market,"Change in payroll employment, 2025 Q4 (thousands)",-740.325927734375,thousands,payroll_employment_2025
Revenue (10-year),Conventional,2388.2623709959908,usd_b,revenue_conventional
Revenue (10-year),Add'l 2026-35 Dynamic Revenue Effects ($bn),-586.692,usd_b,revenue_dynamic
Revenue (10-year),"Conventional, % of GDP",0.6400034223547799,pct,revenue_pct_gdp
