category,group,substitution,value
Leather products,Commodities,presub,39.71879552037047
Leather products,Commodities,postsub,18.870639319184235
Metals nec,Commodities,presub,38.04922259681132
Metals nec,Commodities,postsub,17.424683445066332
Wearing apparel,Commodities,presub,37.50696858606539
Wearing apparel,Commodities,postsub,17.360622108871237
Crops nec,Commodities,presub,32.46448470955228
Crops nec,Commodities,postsub,14.441255502266111
Electrical equipment,Commodities,presub,25.480634795088477
Electrical equipment,Commodities,postsub,12.546870274782533
Textiles,Commodities,presub,19.07252781240007
Textiles,Commodities,postsub,10.341329985779916
"Computer, electronic and optical",Commodities,presub,18.222009542185116
"Computer, electronic and optical",Commodities,postsub,7.669057104498734
Ferrous metals,Commodities,presub,17.542659962698114
Ferrous metals,Commodities,postsub,10.368784844149243
Mineral products nec,Commodities,presub,13.906802336250221
Mineral products nec,Commodities,postsub,7.193172892763728
Machinery and equipment nec,Commodities,presub,13.326674288671617
Machinery and equipment nec,Commodities,postsub,8.446944758296338
Motor vehicles and parts,Commodities,presub,12.04369373411552
Motor vehicles and parts,Commodities,postsub,9.41701642067923
Metal products,Commodities,presub,10.938329290842628
Metal products,Commodities,postsub,6.827108114506032
Fishing,Commodities,presub,10.88648141543074
Fishing,Commodities,postsub,6.058372080164871
Rubber and plastic products,Commodities,presub,10.856697393783236
Rubber and plastic products,Commodities,postsub,6.149888274729293
Transport equipment nec,Commodities,presub,10.232458761784441
Transport equipment nec,Commodities,postsub,6.406133619509681
Manufactures nec,Commodities,presub,9.29770562203816
Manufactures nec,Commodities,postsub,5.710610540820059
Wood products,Commodities,presub,6.747668895768353
Wood products,Commodities,postsub,4.264654666702159
Processed rice,Commodities,presub,6.13953197848561
Processed rice,Commodities,postsub,10.643333427842515
"Vegetables, fruit, nuts",Commodities,presub,6.110359998491528
"Vegetables, fruit, nuts",Commodities,postsub,3.3586443405143616
"Paper products, publishing",Commodities,presub,5.144428411951409
"Paper products, publishing",Commodities,postsub,3.8162253133364814
Chemical products,Commodities,presub,5.11149971651234
Chemical products,Commodities,postsub,3.8162253133364814
Vegetable oils and fats,Commodities,presub,4.153579695780381
Vegetable oils and fats,Commodities,postsub,2.2696016251977156
Food products nec,Commodities,presub,3.94896915296316
Food products nec,Commodities,postsub,3.04748927899532
Beverages and tobacco products,Commodities,presub,3.4675369394413216
Beverages and tobacco products,Commodities,postsub,3.6697994020334033
Animal products nec,Commodities,presub,2.0250676317634597
Animal products nec,Commodities,postsub,1.2903783433583786
Cereal grains nec,Commodities,presub,1.6591910090654993
Cereal grains nec,Commodities,postsub,1.4459558741178997
Paddy rice,Commodities,presub,1.5922282535898147
Paddy rice,Commodities,postsub,1.6106850243338628
Basic pharmaceutical products,Commodities,presub,1.474904217743421
Basic pharmaceutical products,Commodities,postsub,1.2171653877068396
Forestry,Commodities,presub,1.4665294283550732
Forestry,Commodities,postsub,1.1805589098810698
Natural gas,Commodities,presub,1.3765345517605034
Natural gas,Commodities,postsub,0.16472915021596324
Sugar,Commodities,presub,1.1880652423742522
Sugar,Commodities,postsub,2.1689338111768497
Oil,Commodities,presub,1.134364199425527
Oil,Commodities,postsub,0.21963886695461762
Bovine meat products,Commodities,presub,1.0395538006211127
Bovine meat products,Commodities,postsub,1.4185010157485722
Minerals nec,Commodities,presub,0.8010987581947131
Minerals nec,Commodities,postsub,0.5124906895607746
Meat products nec,Commodities,presub,0.5661755379702269
Meat products nec,Commodities,postsub,1.070739476403761
Dairy products,Commodities,presub,0.54336146359981
Dairy products,Commodities,postsub,1.6655947410725174
"Petroleum, coal products",Commodities,presub,0.48047306666143663
"Petroleum, coal products",Commodities,postsub,0.30200344206259927
Oil seeds,Commodities,presub,0.4342284827476816
Oil seeds,Commodities,postsub,-0.03660647782576961
"Wool, silk-worm cocoons",Commodities,presub,0.34274995474023096
"Wool, silk-worm cocoons",Commodities,postsub,10.97279172827444
Electricity,Commodities,presub,0.1852017966931162
Electricity,Commodities,postsub,0.5216423090172169
"Bovine cattle, sheep and goats",Commodities,presub,0.1487388646215255
"Bovine cattle, sheep and goats",Commodities,postsub,0.7321295565153922
Wheat,Commodities,presub,0.09460418177640319
Wheat,Commodities,postsub,0.8236457510798162
Plant-based fibers,Commodities,presub,0.09065832747161486
Plant-based fibers,Commodities,postsub,0.887707087274913
Construction,Commodities,presub,0.07523577490253497
Construction,Commodities,postsub,1.4917139714001113
Raw milk,Commodities,presub,0.04004430137548838
Raw milk,Commodities,postsub,1.226317007163282
"Sugar cane, sugar beet",Commodities,presub,0.00942723225317698
"Sugar cane, sugar beet",Commodities,postsub,-0.23794210586750247
Water,Commodities,presub,0.004878132346254311
Water,Commodities,postsub,1.1897105293375123
Coal,Commodities,presub,0.002896378950053232
Coal,Commodities,postsub,0.28370020314971445
"Gas manufacture, distribution",Commodities,presub,0.0004608895561503333
"Gas manufacture, distribution",Commodities,postsub,0.5674004062994289
Air transport,Commodities,presub,0
Air transport,Commodities,postsub,0.3294583004319265
Accommodation & food services,Commodities,presub,0
Accommodation & food services,Commodities,postsub,0.7595844148847194
Communication,Commodities,presub,0
Communication,Commodities,postsub,0.7961908927104889
Water transport,Commodities,presub,0
Water transport,Commodities,postsub,0.7321295565153922
Financial services nec,Commodities,presub,0
Financial services nec,Commodities,postsub,0.5124906895607746
Insurance,Commodities,presub,0
Insurance,Commodities,postsub,0.47588421173500495
Business services nec,Commodities,presub,0
Business services nec,Commodities,postsub,0.7412811759718346
Transport nec,Commodities,presub,0
Transport nec,Commodities,postsub,0.7321295565153922
Warehousing and support,Commodities,presub,0
Warehousing and support,Commodities,postsub,1.0341329985779915
Recreational and other services,Commodities,presub,0
Recreational and other services,Commodities,postsub,0.7504327954282769
Human health and social work,Commodities,presub,0
Human health and social work,Commodities,postsub,0.8511006094491435
Public Administration,Commodities,presub,0
Public Administration,Commodities,postsub,0.8236457510798162
Real estate activities,Commodities,presub,0
Real estate activities,Commodities,postsub,0.6040068841251985
Trade,Commodities,presub,0
Trade,Commodities,postsub,0.7321295565153922
Dwellings,Commodities,presub,0
Dwellings,Commodities,postsub,0.4667325922785625
Education,Commodities,presub,0
Education,Commodities,postsub,0.5857036452123138
