category,series,value
2026,conventional,82.06158067010807
2026,dynamic,68.33158067010807
2027,conventional,145.15814839102129
2027,dynamic,137.57214839102127
2028,conventional,190.8243762705737
2028,dynamic,183.8543762705737
2029,conventional,193.9489003733611
2029,dynamic,183.24090037336111
2030,conventional,197.22550215731363
2030,dynamic,184.70750215731363
2031,conventional,201.4907335000107
2031,dynamic,188.04173350001068
2032,conventional,209.4899956494778
2032,dynamic,195.11199564947785
2033,conventional,217.62440913753312
2033,dynamic,202.3004091375331
2034,conventional,225.94739733819577
2034,dynamic,209.65339733819573
2035,conventional,234.16274233904988
2035,dynamic,216.8327423390499
Total,conventional,1897.9337858266451
Total,dynamic,1769.646785826645
