category,value,substitution,basis
1,-0.6699661226308725,presub,% of after-tax income
2,-0.4134965898415234,presub,% of after-tax income
3,-0.3990742396972975,presub,% of after-tax income
4,-0.354359843307613,presub,% of after-tax income
5,-0.3630489895906036,presub,% of after-tax income
6,-0.3578304655353806,presub,% of after-tax income
7,-0.34097218805228474,presub,% of after-tax income
8,-0.3286632868301047,presub,% of after-tax income
9,-0.30144997482446173,presub,% of after-tax income
10,-0.21202425883739712,presub,% of after-tax income
Total,-0.3082078778412017,presub,% of after-tax income
1,-0.5295992800427036,postsub,% of after-tax income
2,-0.32686353665204393,postsub,% of after-tax income
3,-0.315462861312055,postsub,% of after-tax income
4,-0.28011672762617573,postsub,% of after-tax income
5,-0.28698538181661004,postsub,% of after-tax income
6,-0.28286020818592134,postsub,% of after-tax income
7,-0.2695339647890939,postsub,% of after-tax income
8,-0.25980394262053286,postsub,% of after-tax income
9,-0.23829218260918889,postsub,% of after-tax income
10,-0.1676023474006909,postsub,% of after-tax income
Total,-0.2436342147677847,postsub,% of after-tax income
1,-248.29614470822767,presub,2025 dollars
2,-248.2509476431554,presub,2025 dollars
3,-291.58359323483046,presub,2025 dollars
4,-304.29234104668035,presub,2025 dollars
5,-368.1316754448721,presub,2025 dollars
6,-418.75825890208984,presub,2025 dollars
7,-468.5128349932419,presub,2025 dollars
8,-540.8220117446739,presub,2025 dollars
9,-627.7575145729486,presub,2025 dollars
10,-1061.6097044840242,presub,2025 dollars
Total,-457.80150267747445,presub,2025 dollars
1,-196.2747891766264,postsub,2025 dollars
2,-196.2390614997876,postsub,2025 dollars
3,-230.49293961765295,postsub,2025 dollars
4,-240.53903517987337,postsub,2025 dollars
5,-291.00317716204256,postsub,2025 dollars
6,-331.02281583373815,postsub,2025 dollars
7,-370.3531443184545,postsub,2025 dollars
8,-427.5125836609392,postsub,2025 dollars
9,-496.2339385963314,postsub,2025 dollars
10,-839.1883054822074,postsub,2025 dollars
Total,-361.8859790527654,postsub,2025 dollars
