category,series,value
2026,conventional,245.59788029243293
2027,conventional,237.73109877437435
2028,conventional,246.6918499168421
2029,conventional,254.87931298705354
2030,conventional,263.5575380933933
2031,conventional,273.8502776557656
2032,conventional,284.7442489788742
2033,conventional,295.810276613503
2034,conventional,307.14612683504373
2035,conventional,318.3226241942805
2026,dynamic,204.47488029243294
2027,dynamic,185.64109877437434
2028,dynamic,202.5588499168421
2029,dynamic,219.78031298705355
2030,dynamic,231.8595380933933
2031,dynamic,241.48127765576558
2032,dynamic,250.45024897887424
2033,dynamic,259.426276613503
2034,dynamic,268.60712683504374
2035,dynamic,277.4636241942805
