category,series,value
2025,conventional,111
2026,conventional,218.22060305329086
2027,conventional,210.84068088429927
2028,conventional,218.80245251294608
2029,conventional,226.07517605242978
2030,conventional,233.79660863649505
2031,conventional,242.93385600215876
2032,conventional,252.61824785371297
2033,conventional,262.44454330853966
2034,conventional,272.5226769253299
2035,conventional,282.44740782146556
2026-35,conventional,2420.7022530506683
2025-34,conventional,2249.2548452292026
2025,dynamic,102.869
2026,dynamic,175.31560305329086
2027,dynamic,155.13768088429927
2028,dynamic,169.99945251294608
2029,dynamic,185.9811760524298
2030,dynamic,195.54660863649505
2031,dynamic,202.76285600215877
2032,dynamic,209.80924785371298
2033,dynamic,216.95954330853965
2034,dynamic,224.30567692532992
2035,dynamic,231.27640782146557
2026-35,dynamic,1967.0942530506682
2025-34,dynamic,1838.6868452292024
2025,difference,-8.131
2026,difference,-42.905
2027,difference,-55.703
2028,difference,-48.803
2029,difference,-40.094
2030,difference,-38.25
2031,difference,-40.171
2032,difference,-42.809
2033,difference,-45.485
2034,difference,-48.217
2035,difference,-51.171
2026-35,difference,-453.608
2025-34,difference,-410.568
