category,group,substitution,value
Warehousing and support,Commodities,presub,0.0
Warehousing and support,Commodities,postsub,1.0690223395615333
Recreational and other services,Commodities,presub,0.0
Recreational and other services,Commodities,postsub,0.7833353350235374
Human health and social work,Commodities,presub,0.0
Human health and social work,Commodities,postsub,0.8939238529092132
Public Administration,Commodities,presub,0.0
Public Administration,Commodities,postsub,0.8570610136139879
Real estate activities,Commodities,presub,0.0
Real estate activities,Commodities,postsub,0.6450996876664424
Trade,Commodities,presub,0.0
Trade,Commodities,postsub,0.7649039153759246
Dwellings,Commodities,presub,0.0
Dwellings,Commodities,postsub,0.5068640403093477
Education,Commodities,presub,0.0
Education,Commodities,postsub,0.6174525581950235
