time,series,value,lower_ci,upper_ci
2005Q1,Synthetic,0.138528,,
2005Q1,Treated,0.174392,,
2005Q2,Synthetic,0.139167,,
2005Q2,Treated,0.175153,,
2005Q3,Synthetic,0.139733,,
2005Q3,Treated,0.175992,,
2005Q4,Synthetic,0.140027,,
2005Q4,Treated,0.176603,,
2006Q1,Synthetic,0.141098,,
2006Q1,Treated,0.175618,,
2006Q2,Synthetic,0.141177,,
2006Q2,Treated,0.174953,,
2006Q3,Synthetic,0.14353,,
2006Q3,Treated,0.176256,,
2006Q4,Synthetic,0.140542,,
2006Q4,Treated,0.17924,,
2007Q1,Synthetic,0.14032,,
2007Q1,Treated,0.177657,,
2007Q2,Synthetic,0.139767,,
2007Q2,Treated,0.177139,,
2007Q3,Synthetic,0.140214,,
2007Q3,Treated,0.176954,,
2007Q4,Synthetic,0.140181,,
2007Q4,Treated,0.176148,,
2008Q1,Synthetic,0.137716,,
2008Q1,Treated,0.175155,,
2008Q2,Synthetic,0.136041,,
2008Q2,Treated,0.176605,,
2008Q3,Synthetic,0.133931,,
2008Q3,Treated,0.17574,,
2008Q4,Synthetic,0.131647,,
2008Q4,Treated,0.173151,,
2009Q1,Synthetic,0.127938,,
2009Q1,Treated,0.169915,,
2009Q2,Synthetic,0.125548,,
2009Q2,Treated,0.168737,,
2009Q3,Synthetic,0.124434,,
2009Q3,Treated,0.16763,,
2009Q4,Synthetic,0.122858,,
2009Q4,Treated,0.166013,,
2010Q1,Synthetic,0.123417,,
2010Q1,Treated,0.165143,,
2010Q2,Synthetic,0.125035,,
2010Q2,Treated,0.165636,,
2010Q3,Synthetic,0.126073,,
2010Q3,Treated,0.16586,,
2010Q4,Synthetic,0.12552,,
2010Q4,Treated,0.162943,,
2011Q1,Synthetic,0.124723,,
2011Q1,Treated,0.162864,,
2011Q2,Synthetic,0.124892,,
2011Q2,Treated,0.161169,,
2011Q3,Synthetic,0.124516,,
2011Q3,Treated,0.160281,,
2011Q4,Synthetic,0.126449,,
2011Q4,Treated,0.160361,,
2012Q1,Synthetic,0.124422,,
2012Q1,Treated,0.161186,,
2012Q2,Synthetic,0.124415,,
2012Q2,Treated,0.161569,,
2012Q3,Synthetic,0.124649,,
2012Q3,Treated,0.160229,,
2012Q4,Synthetic,0.124192,,
2012Q4,Treated,0.15966,,
2013Q1,Synthetic,0.125635,,
2013Q1,Treated,0.160315,,
2013Q2,Synthetic,0.126037,,
2013Q2,Treated,0.160871,,
2013Q3,Synthetic,0.126072,,
2013Q3,Treated,0.160623,,
2013Q4,Synthetic,0.124739,,
2013Q4,Treated,0.160207,,
2014Q1,Synthetic,0.125535,,
2014Q1,Treated,0.161344,,
