category,value,substitution,basis
1,,presub,% of after-tax income
2,-2.2582684411471643,presub,% of after-tax income
3,-1.9822541255209876,presub,% of after-tax income
4,-1.6273762606433815,presub,% of after-tax income
5,-1.475537243456832,presub,% of after-tax income
6,-1.3826294431525583,presub,% of after-tax income
7,-1.256928029397925,presub,% of after-tax income
8,-1.1748509485276246,presub,% of after-tax income
9,-1.0873603218166692,presub,% of after-tax income
10,-0.8683027883138389,presub,% of after-tax income
1,,presub,2024 dollars
2,-977.0388765906488,presub,2024 dollars
3,-1314.8318183364,presub,2024 dollars
4,-1441.9856965482572,presub,2024 dollars
5,-1706.9371733309706,presub,2024 dollars
6,-2006.2776616497379,presub,2024 dollars
7,-2320.6410100197327,presub,2024 dollars
8,-2675.921964781394,presub,2024 dollars
9,-3247.837792582539,presub,2024 dollars
10,-4592.806557175891,presub,2024 dollars
