category,top_level,scenario,substitution,value
Motor vehicles and parts,Durable goods,Section 122 Expires,Pre-Substitution,4.4446
Motor vehicles and parts,Durable goods,Section 122 Expires,Post-Substitution,3.7462
Motor vehicles and parts,Durable goods,Section 122 Extended,Pre-Substitution,4.6489
Motor vehicles and parts,Durable goods,Section 122 Extended,Post-Substitution,3.933
Clothing and footwear,Nondurable goods,Section 122 Expires,Pre-Substitution,3.6192
Clothing and footwear,Nondurable goods,Section 122 Expires,Post-Substitution,2.4186
Clothing and footwear,Nondurable goods,Section 122 Extended,Pre-Substitution,7.4694
Clothing and footwear,Nondurable goods,Section 122 Extended,Post-Substitution,5.7252
Furnishings and durable household equipment,Durable goods,Section 122 Expires,Pre-Substitution,2.1122
Furnishings and durable household equipment,Durable goods,Section 122 Expires,Post-Substitution,1.714
Furnishings and durable household equipment,Durable goods,Section 122 Extended,Pre-Substitution,3.2107
Furnishings and durable household equipment,Durable goods,Section 122 Extended,Post-Substitution,2.511
Recreational goods and vehicles,Durable goods,Section 122 Expires,Pre-Substitution,1.7568
Recreational goods and vehicles,Durable goods,Section 122 Expires,Post-Substitution,1.4827
Recreational goods and vehicles,Durable goods,Section 122 Extended,Pre-Substitution,2.3642
Recreational goods and vehicles,Durable goods,Section 122 Extended,Post-Substitution,2.0584
Other durable goods,Durable goods,Section 122 Expires,Pre-Substitution,1.354
Other durable goods,Durable goods,Section 122 Expires,Post-Substitution,1.0446
Other durable goods,Durable goods,Section 122 Extended,Pre-Substitution,3.3322
Other durable goods,Durable goods,Section 122 Extended,Post-Substitution,2.7283
Other nondurable goods,Nondurable goods,Section 122 Expires,Pre-Substitution,0.9108
Other nondurable goods,Nondurable goods,Section 122 Expires,Post-Substitution,0.6764
Other nondurable goods,Nondurable goods,Section 122 Extended,Pre-Substitution,1.7299
Other nondurable goods,Nondurable goods,Section 122 Extended,Post-Substitution,1.2458
Net foreign travel,Services,Section 122 Expires,Pre-Substitution,0.7463
Net foreign travel,Services,Section 122 Expires,Post-Substitution,0.619
Net foreign travel,Services,Section 122 Extended,Pre-Substitution,1.0852
Net foreign travel,Services,Section 122 Extended,Post-Substitution,0.9328
Transportation services,Services,Section 122 Expires,Pre-Substitution,0.7388
Transportation services,Services,Section 122 Expires,Post-Substitution,0.6928
Transportation services,Services,Section 122 Extended,Pre-Substitution,0.8189
Transportation services,Services,Section 122 Extended,Post-Substitution,0.7677
Communication,Services,Section 122 Expires,Pre-Substitution,0.4434
Communication,Services,Section 122 Expires,Post-Substitution,0.3824
Communication,Services,Section 122 Extended,Pre-Substitution,0.5664
Communication,Services,Section 122 Extended,Post-Substitution,0.5069
Food and beverages purchased for off-premises consumption,Nondurable goods,Section 122 Expires,Pre-Substitution,0.4269
Food and beverages purchased for off-premises consumption,Nondurable goods,Section 122 Expires,Post-Substitution,0.3747
Food and beverages purchased for off-premises consumption,Nondurable goods,Section 122 Extended,Pre-Substitution,1.0386
Food and beverages purchased for off-premises consumption,Nondurable goods,Section 122 Extended,Post-Substitution,0.8873
Household utilities,Services,Section 122 Expires,Pre-Substitution,0.3549
Household utilities,Services,Section 122 Expires,Post-Substitution,0.314
