time,series,value,lower_ci,upper_ci
2005Q1,Synthetic,-2.93873,,
2005Q1,Treated,-3.6369,,
2005Q2,Synthetic,-3.10258,,
2005Q2,Treated,-3.60075,,
2005Q3,Synthetic,-3.06849,,
2005Q3,Treated,-3.76258,,
2005Q4,Synthetic,-2.96831,,
2005Q4,Treated,-3.79764,,
2006Q1,Synthetic,-3.09076,,
2006Q1,Treated,-3.92866,,
2006Q2,Synthetic,-2.99641,,
2006Q2,Treated,-3.93404,,
2006Q3,Synthetic,-3.12368,,
2006Q3,Treated,-3.95413,,
2006Q4,Synthetic,-3.04661,,
2006Q4,Treated,-4.10645,,
2007Q1,Synthetic,-3.18167,,
2007Q1,Treated,-4.15019,,
2007Q2,Synthetic,-3.32917,,
2007Q2,Treated,-4.04601,,
2007Q3,Synthetic,-3.217,,
2007Q3,Treated,-3.91084,,
2007Q4,Synthetic,-3.10418,,
2007Q4,Treated,-4.02823,,
2008Q1,Synthetic,-3.08943,,
2008Q1,Treated,-4.18956,,
2008Q2,Synthetic,-3.02065,,
2008Q2,Treated,-3.85751,,
2008Q3,Synthetic,-2.79085,,
2008Q3,Treated,-3.67051,,
2008Q4,Synthetic,-2.42509,,
2008Q4,Treated,-3.45822,,
2009Q1,Synthetic,-2.3766,,
2009Q1,Treated,-3.10165,,
2009Q2,Synthetic,-2.09939,,
2009Q2,Treated,-2.98237,,
2009Q3,Synthetic,-2.16288,,
2009Q3,Treated,-3.00969,,
2009Q4,Synthetic,-2.08315,,
2009Q4,Treated,-2.96835,,
2010Q1,Synthetic,-2.17633,,
2010Q1,Treated,-2.93518,,
2010Q2,Synthetic,-2.11371,,
2010Q2,Treated,-3.12187,,
2010Q3,Synthetic,-2.17377,,
2010Q3,Treated,-3.08726,,
2010Q4,Synthetic,-2.12229,,
2010Q4,Treated,-2.90908,,
2011Q1,Synthetic,-2.29414,,
2011Q1,Treated,-3.15754,,
2011Q2,Synthetic,-2.20606,,
2011Q2,Treated,-3.1317,,
2011Q3,Synthetic,-2.33382,,
2011Q3,Treated,-2.98568,,
2011Q4,Synthetic,-2.34268,,
2011Q4,Treated,-3.09818,,
2012Q1,Synthetic,-2.41794,,
2012Q1,Treated,-3.16724,,
2012Q2,Synthetic,-2.44621,,
