category,value,substitution,basis
1,-1.907238991849509,presub,% of after-tax income
2,-1.177129398790613,presub,% of after-tax income
3,-1.136072295125195,presub,% of after-tax income
4,-1.008780724087941,presub,% of after-tax income
5,-1.03351671899426,presub,% of after-tax income
6,-1.01866078490771,presub,% of after-tax income
7,-0.9706691580700437,presub,% of after-tax income
8,-0.9356285559190297,presub,% of after-tax income
9,-0.8581585346727094,presub,% of after-tax income
10,-0.603584151516085,presub,% of after-tax income
1,-736.5037385251178,presub,2025 dollars
2,-731.4279623543421,presub,2025 dollars
3,-861.7937804907272,presub,2025 dollars
4,-891.814485549898,presub,2025 dollars
5,-1071.547633142789,presub,2025 dollars
6,-1217.599623379261,presub,2025 dollars
7,-1363.728044262295,presub,2025 dollars
8,-1574.947618162721,presub,2025 dollars
9,-1830.484695828524,presub,2025 dollars
10,-3100.284848946618,presub,2025 dollars
