category,value,country_code,substitution
China,4.52356471333582,chn,presub
China,2.0402353393403847,chn,postsub
Canada,2.167864990141185,ca,presub
Canada,2.597756713007159,ca,postsub
Mexico,2.2821816390337046,mx,presub
Mexico,2.528719212614036,mx,postsub
Rest of World,6.435022131899546,row,presub
Rest of World,6.799477331378184,row,postsub
Total,15.408633474410255,total,presub
Total,13.966188596339762,total,postsub
