category,group,substitution,basis,value
Animal products nec,Commodities,postsub,domestic,0.519299234200728
Animal products nec,Commodities,postsub,imported,26.339340227715997
Raw milk,Commodities,postsub,overall,1.7269718718768396
Raw milk,Commodities,postsub,domestic,1.7028184191233176
Raw milk,Commodities,postsub,imported,33.11438372507899
Basic pharmaceutical products,Commodities,postsub,overall,1.7148951455000785
Basic pharmaceutical products,Commodities,postsub,domestic,1.1714424585458283
Basic pharmaceutical products,Commodities,postsub,imported,2.282501285207851
Water,Commodities,postsub,overall,1.6303580608627508
Water,Commodities,postsub,domestic,1.6182813344859899
Water,Commodities,postsub,imported,28.066312099592835
Meat products nec,Commodities,postsub,overall,1.557897702602184
Meat products nec,Commodities,postsub,domestic,1.2680562695599173
Meat products nec,Commodities,postsub,imported,14.455841472983058
Warehousing and support,Commodities,postsub,overall,1.4854373443416176
Warehousing and support,Commodities,postsub,domestic,1.4854373443416176
Warehousing and support,Commodities,postsub,imported,-0.9057544782570838
"Petroleum, coal products",Commodities,postsub,overall,1.3646700805740062
"Petroleum, coal products",Commodities,postsub,domestic,1.2076726376761118
"Petroleum, coal products",Commodities,postsub,imported,2.1738107478170012
Oil,Commodities,postsub,overall,1.3042864486902008
Oil,Commodities,postsub,domestic,0.519299234200728
Oil,Commodities,postsub,imported,1.9081227675282566
Forestry,Commodities,postsub,overall,1.2559795431831564
Forestry,Commodities,postsub,domestic,0.8453708463732781
Forestry,Commodities,postsub,imported,6.15913045214817
Water transport,Commodities,postsub,overall,1.231826090429634
Water transport,Commodities,postsub,domestic,1.243902816806395
Water transport,Commodities,postsub,imported,-0.1932276220281779
Transport nec,Commodities,postsub,overall,1.1835191849225895
Transport nec,Commodities,postsub,domestic,1.1955959112993506
Transport nec,Commodities,postsub,imported,0.3381483385493113
Wheat,Commodities,postsub,overall,1.1714424585458283
Wheat,Commodities,postsub,domestic,1.1110588266620227
Wheat,Commodities,postsub,imported,10.36183123126104
Human health and social work,Commodities,postsub,overall,1.147289005792306
Human health and social work,Commodities,postsub,domestic,1.147289005792306
Human health and social work,Commodities,postsub,imported,-0.2656879802887446
Public Administration,Commodities,postsub,overall,1.0869053739085006
Public Administration,Commodities,postsub,domestic,1.0869053739085006
Public Administration,Commodities,postsub,imported,0.9902915628944116
Communication,Commodities,postsub,overall,1.038598468401456
Communication,Commodities,postsub,domestic,1.0869053739085006
Communication,Commodities,postsub,imported,-0.3623017913028335
Accommodation & food services,Commodities,postsub,overall,1.038598468401456
Accommodation & food services,Commodities,postsub,domestic,1.123135553038784
Accommodation & food services,Commodities,postsub,imported,0.1932276220281779
Plant-based fibers,Commodities,postsub,overall,0.9902915628944116
Plant-based fibers,Commodities,postsub,domestic,0.9178312046338449
Plant-based fibers,Commodities,postsub,imported,34.636051248550885
Recreational and other services,Commodities,postsub,overall,0.9782148365176506
Recreational and other services,Commodities,postsub,domestic,0.9782148365176506
Recreational and other services,Commodities,postsub,imported,-0.8091406672429949
Trade,Commodities,postsub,overall,0.9419846573873671
Trade,Commodities,postsub,domestic,0.9540613837641283
Trade,Commodities,postsub,imported,-1.9201994939050175
Business services nec,Commodities,postsub,overall,0.9299079310106061
Business services nec,Commodities,postsub,domestic,0.9419846573873671
Business services nec,Commodities,postsub,imported,-0.09661381101408895
Electricity,Commodities,postsub,overall,0.9178312046338449
Electricity,Commodities,postsub,domestic,0.9540613837641283
Electricity,Commodities,postsub,imported,-2.59649617100364
"Bovine cattle, sheep and goats",Commodities,postsub,overall,0.8936777518803226
"Bovine cattle, sheep and goats",Commodities,postsub,domestic,0.8091406672429949
"Bovine cattle, sheep and goats",Commodities,postsub,imported,15.02344761269083
"Gas manufacture, distribution",Commodities,postsub,overall,0.8453708463732781
"Gas manufacture, distribution",Commodities,postsub,domestic,0.8453708463732781
"Gas manufacture, distribution",Commodities,postsub,imported,1.5458209762254231
Minerals nec,Commodities,postsub,overall,0.8212173936197561
Minerals nec,Commodities,postsub,domestic,0.012076726376761118
Minerals nec,Commodities,postsub,imported,6.678429686348898
Education,Commodities,postsub,overall,0.7487570353591892
Education,Commodities,postsub,domestic,0.8212173936197561
Education,Commodities,postsub,imported,-1.0869053739085006
Real estate activities,Commodities,postsub,overall,0.724603582605667
Real estate activities,Commodities,postsub,domestic,0.724603582605667
Real estate activities,Commodities,postsub,imported,0.7970639408662338
Air transport,Commodities,postsub,overall,0.724603582605667
Air transport,Commodities,postsub,domestic,1.0506751947782171
Air transport,Commodities,postsub,imported,-0.519299234200728
Financial services nec,Commodities,postsub,overall,0.5917595924612947
Financial services nec,Commodities,postsub,domestic,0.5917595924612947
Financial services nec,Commodities,postsub,imported,-0.024153452753522237
Insurance,Commodities,postsub,overall,0.5555294133310114
Insurance,Commodities,postsub,domestic,0.5313759605774891
Insurance,Commodities,postsub,imported,1.0989821002852618
Coal,Commodities,postsub,overall,0.5313759605774891
Coal,Commodities,postsub,domestic,0.519299234200728
Coal,Commodities,postsub,imported,1.9201994939050175
Dwellings,Commodities,postsub,overall,0.4951457814472058
Dwellings,Commodities,postsub,domestic,0.4951457814472058
Dwellings,Commodities,postsub,imported,0.4951457814472058
"Sugar cane, sugar beet",Commodities,postsub,overall,-0.8695242991268004
"Sugar cane, sugar beet",Commodities,postsub,domestic,-0.8695242991268004
"Sugar cane, sugar beet",Commodities,postsub,imported,29.901974508860526
Oil seeds,Commodities,postsub,overall,-0.9661381101408895
Oil seeds,Commodities,postsub,domestic,-1.2680562695599173
Oil seeds,Commodities,postsub,imported,19.75752435238119
