scenario,country,metric,leaf,value
Section 122 Extended,UK,Share of Goods Imports,share-post,2.2
Section 122 Extended,UK,Contribution,contrib-pre,0.2
Section 122 Extended,UK,Contribution,contrib-post,0.2
Section 122 Extended,FTA Partners,Average Effective Tariff Rate,avg-pre,12.2
Section 122 Extended,FTA Partners,Average Effective Tariff Rate,avg-post,9.5
Section 122 Extended,FTA Partners,Share of Goods Imports,share-pre,9.2
Section 122 Extended,FTA Partners,Share of Goods Imports,share-post,8.9
Section 122 Extended,FTA Partners,Contribution,contrib-pre,1.1
Section 122 Extended,FTA Partners,Contribution,contrib-post,0.8
Section 122 Extended,Rest of World,Average Effective Tariff Rate,avg-pre,11.0
Section 122 Extended,Rest of World,Average Effective Tariff Rate,avg-post,9.7
Section 122 Extended,Rest of World,Share of Goods Imports,share-pre,24.4
Section 122 Extended,Rest of World,Share of Goods Imports,share-post,22.5
Section 122 Extended,Rest of World,Contribution,contrib-pre,2.7
Section 122 Extended,Rest of World,Contribution,contrib-post,2.2
Section 122 Extended,Total,Average Effective Tariff Rate,avg-pre,12.2
Section 122 Extended,Total,Average Effective Tariff Rate,avg-post,10.5
Section 122 Extended,Total,Share of Goods Imports,share-pre,100
Section 122 Extended,Total,Share of Goods Imports,share-post,100
Section 122 Extended,Total,Contribution,contrib-pre,12.2
Section 122 Extended,Total,Contribution,contrib-post,10.5
