category,group,substitution,value
Warehousing and support,Commodities,presub,0.0
Warehousing and support,Commodities,postsub,1.0604662006450607
Recreational and other services,Commodities,presub,0.0
Recreational and other services,Commodities,postsub,0.7704241628617963
Human health and social work,Commodities,presub,0.0
Human health and social work,Commodities,postsub,0.8791899270305205
Public Administration,Commodities,presub,0.0
Public Administration,Commodities,postsub,0.8429346723076124
Real estate activities,Commodities,presub,0.0
Real estate activities,Commodities,postsub,0.6254031439701639
Trade,Commodities,presub,0.0
Trade,Commodities,postsub,0.7522965355003421
Dwellings,Commodities,presub,0.0
Dwellings,Commodities,postsub,0.48944593875925885
Education,Commodities,presub,0.0
Education,Commodities,postsub,0.6072755166087102
