category,value,substitution,basis
1,-2.4459394453454606,presub,% of after-tax income
2,-1.5096691904856405,presub,% of after-tax income
3,-1.4569928273560624,presub,% of after-tax income
4,-1.293643875113596,presub,% of after-tax income
5,-1.3254078655140413,presub,% of after-tax income
6,-1.306319162915388,presub,% of after-tax income
7,-1.244768464478481,presub,% of after-tax income
8,-1.1999025577202835,presub,% of after-tax income
9,-1.1005327858172853,presub,% of after-tax income
10,-0.7740256802115035,presub,% of after-tax income
1,-919.6976908443467,presub,2025 dollars
2,-913.395150319527,presub,2025 dollars
3,-1076.1786120700083,presub,2025 dollars
4,-1113.5815841365345,presub,2025 dollars
5,-1338.0522565510453,presub,2025 dollars
6,-1520.3856841423328,presub,2025 dollars
7,-1702.843259406562,presub,2025 dollars
8,-1966.7002872314306,presub,2025 dollars
9,-2285.762574831069,presub,2025 dollars
10,-3871.227517523418,presub,2025 dollars
