category,value,substitution,basis
1,-2.692265000350822,postsub,% of after-tax income
1,-1012.3185627819126,postsub,2025 dollars
2,-1.640552102320301,postsub,% of after-tax income
2,-992.5832384668516,postsub,2025 dollars
3,-1.5766369406996574,postsub,% of after-tax income
3,-1164.5513435089879,postsub,2025 dollars
4,-1.4005750165403865,postsub,% of after-tax income
4,-1205.6289799881301,postsub,2025 dollars
5,-1.422057607291105,postsub,% of after-tax income
5,-1435.6240368646622,postsub,2025 dollars
6,-1.4044683204582296,postsub,% of after-tax income
6,-1634.6185441317198,postsub,2025 dollars
7,-1.3346567080291192,postsub,% of after-tax income
7,-1825.8103765838353,postsub,2025 dollars
8,-1.286873147960564,postsub,% of after-tax income
8,-2109.2494331647626,postsub,2025 dollars
9,-1.1765817788645259,postsub,% of after-tax income
9,-2443.7132914304657,postsub,2025 dollars
10,-0.8274729055385219,postsub,% of after-tax income
10,-4138.539539218475,postsub,2025 dollars
