category,value,substitution,basis
1,-0.836947982549374,presub,% of after-tax income
2,-0.516556173467273,presub,% of after-tax income
3,-0.498539207460947,presub,% of after-tax income
4,-0.442680228051209,presub,% of after-tax income
5,-0.453535050714582,presub,% of after-tax income
6,-0.447015865591082,presub,% of after-tax income
7,-0.425955843521117,presub,% of after-tax income
8,-0.410579080879972,presub,% of after-tax income
9,-0.376583143156777,presub,% of after-tax income
10,-0.264869027987041,presub,% of after-tax income
1,-314.70081091839,presub,2025 dollars
2,-312.531981632904,presub,2025 dollars
3,-368.236014806879,presub,2025 dollars
4,-381.063567108761,presub,2025 dollars
5,-457.861775098399,presub,2025 dollars
6,-520.268355485492,presub,2025 dollars
7,-582.707593936888,presub,2025 dollars
8,-672.959642516318,presub,2025 dollars
9,-782.1481250109,presub,2025 dollars
10,-1324.72125395495,presub,2025 dollars
