category,series,value,unit,metric
Tariff rate,"Effective rate, pre-substitution",16.8777713913239,pct,etr_presub_level
Tariff rate,"Effective rate, post-substitution",14.3491128685741,pct,etr_postsub_level
Consumer price increase,Pre-substitution,1.24122291723637,pct,price_presub
Consumer price increase,Post-substitution,0.9252564877615671,pct,price_postsub
Household cost,Pre-substitution,-1680.53605665983,usd,hh_cost_presub
Household cost,Post-substitution,-1252.73781828316,usd,hh_cost_postsub
Real GDP,"Q4-Q4 growth (p.p.), 2026",-0.373219488009224,pp,gdp_growth_2026
Real GDP,Long-run,-0.31150957942009,pct,gdp_longrun
Labor market,"Unemployment rate (p.p.), end of 2026",0.637,pp,unemployment_2026
Revenue (10-year),Conventional,2731.09031256651,usd_b,revenue_conventional
Revenue (10-year),Dynamic,2344.56331256651,usd_b,revenue_dynamic
