category,value,substitution,basis
1,-1.3803290724479,postsub,All 2025 Tariffs
2,-0.851925709429924,postsub,All 2025 Tariffs
3,-0.822211387280434,postsub,All 2025 Tariffs
4,-0.730086458558259,postsub,All 2025 Tariffs
5,-0.747988679019894,postsub,All 2025 Tariffs
6,-0.737236970500056,postsub,All 2025 Tariffs
7,-0.702503914998783,postsub,All 2025 Tariffs
8,-0.677143924944143,postsub,All 2025 Tariffs
9,-0.621076424737598,postsub,All 2025 Tariffs
10,-0.43683290639865,postsub,All 2025 Tariffs
1,-519.017534531136,postsub,All 2025 Tariffs
2,-515.440611976387,postsub,All 2025 Tariffs
3,-607.309996986947,postsub,All 2025 Tariffs
4,-628.465724391535,postsub,All 2025 Tariffs
5,-755.124491017744,postsub,All 2025 Tariffs
6,-858.047992855901,postsub,All 2025 Tariffs
7,-961.025355718335,postsub,All 2025 Tariffs
8,-1109.8727501797,postsub,All 2025 Tariffs
9,-1289.950891123,postsub,All 2025 Tariffs
10,-2184.78483472034,postsub,All 2025 Tariffs
