category,series,value
2026,conventional,47.65751796704069
2027,conventional,66.77919151717765
2028,conventional,112.3610175383226
2029,conventional,116.0905284974855
2030,conventional,120.0440089873895
2031,conventional,124.7323224096083
2032,conventional,129.6949360857086
2033,conventional,134.7355645699095
2034,conventional,139.8995011385711
2035,conventional,144.9904603459123
2026,dynamic,38.38251796704069
2027,dynamic,59.63619151717765
2028,dynamic,107.0320175383226
2029,dynamic,108.8485284974855
2030,dynamic,111.5270089873895
2031,dynamic,115.5733224096083
2032,dynamic,119.9079360857086
2033,dynamic,124.3085645699095
2034,dynamic,128.8155011385711
2035,dynamic,133.2054603459123
2026,difference,-9.275
2027,difference,-7.143
2028,difference,-5.329
2029,difference,-7.242
2030,difference,-8.517
2031,difference,-9.159
2032,difference,-9.787
2033,difference,-10.427
2034,difference,-11.084
2035,difference,-11.785
2026-35,conventional,1136.985049057126
2026-35,dynamic,1047.237049057126
2026-35,difference,-89.74799999999999
