time,series,value
2025-01-01,gdp_level,-2.802327202511279e-05
2025-04-01,gdp_level,-0.8963721532864954
2025-07-01,gdp_level,-0.3561632399887604
2025-10-01,gdp_level,-1.0726231602962932
2026-01-01,gdp_level,-1.4265076784445774
2026-04-01,gdp_level,-1.5256195007436912
2026-07-01,gdp_level,-1.2847028156081963
2026-10-01,gdp_level,-1.0097135474257168
2027-01-01,gdp_level,-0.8165989979337596
2027-04-01,gdp_level,-0.7059780553456352
2027-07-01,gdp_level,-0.6449247320946316
2027-10-01,gdp_level,-0.61
2028-01-01,gdp_level,-0.61
2028-04-01,gdp_level,-0.61
2028-07-01,gdp_level,-0.61
2028-10-01,gdp_level,-0.61
2029-01-01,gdp_level,-0.61
2029-04-01,gdp_level,-0.61
2029-07-01,gdp_level,-0.61
2029-10-01,gdp_level,-0.61
2030-01-01,gdp_level,-0.61
2030-04-01,gdp_level,-0.61
2030-07-01,gdp_level,-0.61
2030-10-01,gdp_level,-0.61
2031-01-01,gdp_level,-0.61
2031-04-01,gdp_level,-0.61
2031-07-01,gdp_level,-0.61
2031-10-01,gdp_level,-0.61
2032-01-01,gdp_level,-0.61
2032-04-01,gdp_level,-0.61
2032-07-01,gdp_level,-0.61
2032-10-01,gdp_level,-0.61
2033-01-01,gdp_level,-0.61
2033-04-01,gdp_level,-0.61
2033-07-01,gdp_level,-0.61
2033-10-01,gdp_level,-0.61
2034-01-01,gdp_level,-0.61
2034-04-01,gdp_level,-0.61
2034-07-01,gdp_level,-0.61
2034-10-01,gdp_level,-0.61
2035-01-01,gdp_level,-0.61
2035-04-01,gdp_level,-0.61
2035-07-01,gdp_level,-0.61
2035-10-01,gdp_level,-0.61
