category,value,substitution,basis
1,-0.9866815521885722,presub,% of after-tax income
2,-0.6491608668382065,presub,% of after-tax income
3,-0.6678761462993233,presub,% of after-tax income
4,-0.5887290303109919,presub,% of after-tax income
5,-0.6771774193255105,presub,% of after-tax income
6,-0.6273406805583351,presub,% of after-tax income
7,-0.6136033354607363,presub,% of after-tax income
8,-0.5818736622088948,presub,% of after-tax income
9,-0.5501312905614912,presub,% of after-tax income
10,-0.36043645486905546,presub,% of after-tax income
1,-371.002130438425,presub,2025 dollars
2,-392.76179926312005,presub,2025 dollars
3,-493.31335794106917,presub,2025 dollars
4,-506.78383658200494,presub,2025 dollars
5,-683.6376919058758,presub,2025 dollars
6,-730.1429978814294,presub,2025 dollars
7,-839.4093629102873,presub,2025 dollars
8,-953.720026043489,presub,2025 dollars
9,-1142.6006852445948,presub,2025 dollars
10,-1802.6940941111911,presub,2025 dollars
