category,series,value,unit,metric
Tariff rate,"Effective rate, pre-substitution",15.408633474410255,pct,etr_presub_level
Tariff rate,"Effective rate, post-substitution",13.966188596339762,pct,etr_postsub_level
Consumer price increase,Pre-substitution,1.7256152286957764,pct,price_presub
Household cost,Pre-substitution,-2835.5571569954514,usd,hh_cost_presub
Real GDP,"Q4-Q4 growth (p.p.), 2025",-0.6548387095553165,pp,gdp_growth_2025
Real GDP,Long-run,-0.36,pct,gdp_longrun
Labor market,"Unemployment rate (p.p.), end of 2025",0.3464794158935547,pp,unemployment_2025
Labor market,"Change in payroll employment, 2025 Q4 (thousands)",-455.657958984375,thousands,payroll_employment_2025
Revenue (10-year),Conventional,2672.809453607429,usd_b,revenue_conventional
Revenue (10-year),Add'l 2026-35 Dynamic Revenue Effects ($bn),-393.853,usd_b,revenue_dynamic
Revenue (10-year),"Conventional, % of GDP",0.7162559768915086,pct,revenue_pct_gdp
