category,value,dimension,category_code,group
Agriculture,-0.788205248234171,sector,agriculture,Sectors
Mining & Extraction,-1.5218430404568588,sector,mining_and_extraction,Sectors
Total Manufacturing,2.6158305413695975,sector,total_manufacturing,Sectors
Durable Manufacturing,4.836390940346031,sector,durable_manufacturing,Manufacturing detail
Advanced Manufacturing,-2.85,sector,advanced_manufacturing,Manufacturing detail
Nondurable Manufacturing,1.4159511512670122,sector,nondurable_manufacturing,Manufacturing detail
Utilities,0.5208154019831179,sector,utilities,Sectors
Construction,-4.13,sector,construction,Sectors
Services,-0.17461863914088882,sector,services,Sectors
Overall Real GDP,-0.45,sector,overall_real_gdp,Sectors
USA,-0.45,country,usa,Trading partners
China,-0.2,country,china,Trading partners
ROW,0.03,country,row,Trading partners
Canada,-2.03,country,canada,Trading partners
Mexico,0.08,country,mexico,Trading partners
FTROW,0.06,country,ftrow,Trading partners
Japan,0.0,country,japan,Trading partners
EU,0.05,country,eu,Trading partners
UK,0.24,country,uk,Trading partners
World Total,-0.15146263265728432,country,world_total,Trading partners
World ex USA,-0.056422352645491,country,world_ex_usa,Trading partners
