category,value,substitution,basis
1,,presub,% of after-tax income
2,-2.9457039696227407,presub,% of after-tax income
3,-2.6562624867898297,presub,% of after-tax income
4,-2.1916160857480174,presub,% of after-tax income
5,-2.0527901298185016,presub,% of after-tax income
6,-1.915266808139659,presub,% of after-tax income
7,-1.7798771871349288,presub,% of after-tax income
8,-1.657585829852074,presub,% of after-tax income
9,-1.5470874126508918,presub,% of after-tax income
10,-1.2012194403609961,presub,% of after-tax income
1,,presub,2024 dollars
2,-1266.1190555710405,presub,2024 dollars
3,-1720.8314583272916,presub,2024 dollars
4,-1890.6716841340638,presub,2024 dollars
5,-2237.1039688386372,presub,2024 dollars
6,-2652.1478382323885,presub,2024 dollars
7,-3090.844101395142,presub,2024 dollars
8,-3558.5827417219775,presub,2024 dollars
9,-4316.152513964438,presub,2024 dollars
10,-6060.139523030284,presub,2024 dollars
