Table 3. Estimated Revenue Effects of Trump Administration Tariffs,,,,,,,,,,,
"Source: Congressional Budget Office, GTAP v7 [Corong et al (2017)], The Budget Lab analysis.",,,,,,,,,,,
,,,,,,,,,,,
Scenario: Section 122 Expires,,,,,,,,,,,
Line,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2026-35
Conventional,48.00,67.00,112.00,116.00,120.00,125.00,130.00,135.00,140.00,145.00,1137.00
Dynamic,38.00,60.00,107.00,109.00,112.00,116.00,120.00,124.00,129.00,133.00,1047.00
Dynamic effect,-9.00,-7.00,-5.00,-7.00,-9.00,-9.00,-10.00,-10.00,-11.00,-12.00,-90.00
