category,value,substitution,basis
1,-1.337981534938323,postsub,All 2025 Tariffs
2,-0.8257892202002354,postsub,All 2025 Tariffs
3,-0.7969865128221174,postsub,All 2025 Tariffs
4,-0.7076879129460857,postsub,All 2025 Tariffs
5,-0.7250409057143856,postsub,All 2025 Tariffs
6,-0.714619052146475,postsub,All 2025 Tariffs
7,-0.6809515826710424,postsub,All 2025 Tariffs
8,-0.6563696195025396,postsub,All 2025 Tariffs
9,-0.6020222312717965,postsub,All 2025 Tariffs
10,-0.4234311761457838,postsub,All 2025 Tariffs
1,-516.677986749867,postsub,All 2025 Tariffs
2,-513.1171876989875,postsub,All 2025 Tariffs
3,-604.5724579608772,postsub,All 2025 Tariffs
4,-625.6328228163842,postsub,All 2025 Tariffs
5,-751.7206564456831,postsub,All 2025 Tariffs
6,-854.1802154797042,postsub,All 2025 Tariffs
7,-956.6933927515234,postsub,All 2025 Tariffs
8,-1104.86983571647,postsub,All 2025 Tariffs
9,-1284.136247985752,postsub,All 2025 Tariffs
10,-2174.93659613002,postsub,All 2025 Tariffs
