category,value,substitution,basis
1,-2.56284029994853,postsub,% of after-tax income
2,-1.5817601644927,postsub,% of after-tax income
3,-1.52658994181868,postsub,% of after-tax income
4,-1.35554270049646,postsub,% of after-tax income
5,-1.38878153678082,postsub,% of after-tax income
6,-1.36881896956555,postsub,% of after-tax income
7,-1.30433052535626,postsub,% of after-tax income
8,-1.25724493843671,postsub,% of after-tax income
9,-1.1531450886872,postsub,% of after-tax income
10,-0.811062375783118,postsub,% of after-tax income
1,-963.653581183647,postsub,2025 dollars
2,-957.012352323017,postsub,2025 dollars
3,-1127.58512872554,postsub,2025 dollars
4,-1166.86471201436,postsub,2025 dollars
5,-1402.03051264171,postsub,2025 dollars
6,-1593.12733410826,postsub,2025 dollars
7,-1784.32415868737,postsub,2025 dollars
8,-2060.6873163447,postsub,2025 dollars
9,-2395.03622339978,postsub,2025 dollars
10,-4056.4635874892,postsub,2025 dollars
